Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,foul_difference,corner_difference,home_rest_days,away_rest_days,rest_days_difference,total_cards,home_cards_ratio,home_foul_ratio,Bournemouth_momentum,Chelsea_momentum,Everton_momentum,Leicester_momentum,Man United_momentum,Norwich_momentum,Arsenal_momentum,Newcastle_momentum,Stoke_momentum,West Brom_momentum,Aston Villa_momentum,West Ham_momentum,Watford_momentum,Tottenham_momentum,Swansea_momentum,Sunderland_momentum,Southampton_momentum,Crystal Palace_momentum,Man City_momentum,Liverpool_momentum,Middlesbrough_momentum,Hull_momentum,Burnley_momentum,Brighton_momentum,Huddersfield_momentum,Fulham_momentum,Wolves_momentum,Cardiff_momentum,Sheffield United_momentum,Leeds_momentum,Brentford_momentum,Nott'm Forest_momentum,Luton_momentum,Ipswich_momentum,momentum_difference
08/08/2015,Bournemouth,Aston Villa,A,11,7,2,3,13,13,6,3,3,4,0,0,4,-1,0.16666666666666666,0.375,0,3,7.0,7.0,0.0,7,0.375,0.48148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996072917958504
08/08/2015,Chelsea,Swansea,D,11,18,3,10,15,16,4,8,1,3,1,0,-7,-7,0.25,0.5263157894736842,-1,-4,7.0,7.0,0.0,6,0.42857142857142855,0.46875,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04579626832351642
08/08/2015,Everton,Watford,D,10,11,5,5,7,13,8,2,1,2,0,0,-1,0,0.45454545454545453,0.4166666666666667,-6,6,7.0,7.0,0.0,3,0.25,0.3333333333333333,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666409384955728
08/08/2015,Leicester,Sunderland,H,19,10,8,5,13,17,6,3,2,4,0,0,9,3,0.4,0.45454545454545453,-4,3,7.0,7.0,0.0,6,0.2857142857142857,0.41935483870967744,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3713187428540621
08/08/2015,Man United,Tottenham,H,9,9,1,4,12,12,1,2,2,3,0,0,0,-3,0.1,0.4,0,-1,7.0,7.0,0.0,5,0.3333333333333333,0.48,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9783895711926682
08/08/2015,Norwich,Crystal Palace,A,17,11,6,7,14,20,1,4,1,0,0,0,6,-1,0.3333333333333333,0.5833333333333334,-6,-3,7.0,7.0,0.0,1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09973423684603479
09/08/2015,Arsenal,West Ham,A,22,8,6,4,12,9,5,4,1,3,0,0,14,2,0.2608695652173913,0.4444444444444444,3,1,7.0,7.0,0.0,4,0.2,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538591237566788
09/08/2015,Newcastle,Southampton,D,9,15,4,5,9,12,6,6,2,4,0,0,-6,-1,0.4,0.3125,-3,0,7.0,7.0,0.0,6,0.2857142857142857,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9560375615443621
09/08/2015,Stoke,Liverpool,A,7,8,1,3,9,16,3,5,2,4,0,0,-1,-2,0.125,0.3333333333333333,-7,-2,7.0,7.0,0.0,6,0.2857142857142857,0.34615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21130659767865506
10/08/2015,West Brom,Man City,A,9,19,2,7,12,9,6,6,4,1,0,0,-10,-5,0.2,0.35,3,0,7.0,7.0,0.0,5,0.6666666666666666,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037568419715707416
