Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,shot_difference,shot_on_target_difference,home_shot_accuracy,away_shot_accuracy,home_momentum,away_momentum,momentum_difference,home_form,away_form,form_difference,home_rest_days,away_rest_days,rest_days_difference,HY,AY,HR,AR,cards_difference,discipline_advantage,HF,AF,foul_difference,home_foul_ratio,HC,AC,corner_difference,home_corner_ratio
08/08/2015,Bournemouth,Aston Villa,A,11,7,2,3,4,-1,0.16666666666666666,0.375,0.0,3.0,-3.0,0,3,-3,7,7,0,3,4,0,0,-1,1,13,13,0,0.48148148148148145,6,3,3,0.6
08/08/2015,Chelsea,Swansea,D,11,18,3,10,-7,-7,0.25,0.5263157894736842,1.0,1.0,0.0,1,1,0,7,7,0,1,3,1,0,0,0,15,16,-1,0.46875,4,8,-4,0.3076923076923077
08/08/2015,Everton,Watford,D,10,11,5,5,-1,0,0.45454545454545453,0.4166666666666667,1.0,1.0,0.0,1,1,0,7,7,0,1,2,0,0,-1,1,7,13,-6,0.3333333333333333,8,2,6,0.7272727272727273
08/08/2015,Leicester,Sunderland,H,19,10,8,5,9,3,0.4,0.45454545454545453,3.0,0.0,3.0,3,0,3,7,7,0,2,4,0,0,-2,2,13,17,-4,0.41935483870967744,6,3,3,0.6
08/08/2015,Man United,Tottenham,H,9,9,1,4,0,-3,0.1,0.4,3.0,0.0,3.0,3,0,3,7,7,0,2,3,0,0,-1,1,12,12,0,0.48,1,2,-1,0.25
08/08/2015,Norwich,Crystal Palace,A,17,11,6,7,6,-1,0.3333333333333333,0.5833333333333334,0.0,3.0,-3.0,0,3,-3,7,7,0,1,0,0,0,1,-1,14,20,-6,0.4,1,4,-3,0.16666666666666666
09/08/2015,Arsenal,West Ham,A,22,8,6,4,14,2,0.2608695652173913,0.4444444444444444,0.0,3.0,-3.0,0,3,-3,7,7,0,1,3,0,0,-2,2,12,9,3,0.5454545454545454,5,4,1,0.5
09/08/2015,Newcastle,Southampton,D,9,15,4,5,-6,-1,0.4,0.3125,1.0,1.0,0.0,1,1,0,7,7,0,2,4,0,0,-2,2,9,12,-3,0.4090909090909091,6,6,0,0.46153846153846156
09/08/2015,Stoke,Liverpool,A,7,8,1,3,-1,-2,0.125,0.3333333333333333,0.0,3.0,-3.0,0,3,-3,7,7,0,2,4,0,0,-2,2,9,16,-7,0.34615384615384615,3,5,-2,0.3333333333333333
10/08/2015,West Brom,Man City,A,9,19,2,7,-10,-5,0.2,0.35,0.0,3.0,-3.0,0,3,-3,7,7,0,4,1,0,0,3,-3,12,9,3,0.5454545454545454,6,6,0,0.46153846153846156
14/08/2015,Aston Villa,Man United,A,5,9,1,2,-4,-1,0.16666666666666666,0.2,3.0,6.0,-3.0,0,3,-3,6,6,0,2,2,0,0,0,0,14,10,4,0.56,3,5,-2,0.3333333333333333
15/08/2015,West Ham,Leicester,A,10,11,3,6,-1,-3,0.2727272727272727,0.5,3.0,6.0,-3.0,0,3,-3,6,7,-1,1,3,1,0,0,0,11,12,-1,0.4583333333333333,8,4,4,0.6153846153846154
15/08/2015,Watford,West Brom,D,16,6,5,0,10,5,0.29411764705882354,0.0,2.0,1.0,1.0,1,1,0,7,5,2,1,2,0,0,-1,1,13,10,3,0.5416666666666666,2,4,-2,0.2857142857142857
