Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,h2h_home_win_rate,h2h_away_win_rate,h2h_draw_rate,h2h_total_matches,home_recent_points,home_recent_win_rate,home_momentum_score,home_attack_form,home_defense_form,home_goals_scored_recent,home_goals_conceded_recent,away_recent_points,away_recent_win_rate,away_momentum_score,away_attack_form,away_defense_form,away_goals_scored_recent,away_goals_conceded_recent,home_elo_before,away_elo_before,elo_difference,home_team_venue_points_per_game,home_team_venue_win_rate,home_team_venue_goals_per_game,home_team_venue_conceded_per_game,away_team_venue_points_per_game,away_team_venue_win_rate,away_team_venue_goals_per_game,away_team_venue_conceded_per_game,home_season_points_per_game,home_season_season_position_estimate,home_season_season_goal_diff,away_season_points_per_game,away_season_season_position_estimate,away_season_season_goal_diff,competition_form,european_footprint,goal_expectation,elo_vs_form,home_advantage,defensive_battle,attacking_threat,form_vs_elo
08/08/2015,Bournemouth,Aston Villa,A,0,1,0,0,11,7,2,3,13,13,6,3,3,4,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,-0.5054631632719028,0,1.0,0.0,1600.0,1.0,1.0,0.0
08/08/2015,Chelsea,Swansea,D,2,2,2,1,11,18,3,10,15,16,4,8,1,3,1,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,-0.12342226432671125,0,1.0,0.0,1600.0,1.0,1.0,0.0
08/08/2015,Everton,Watford,D,2,2,0,1,10,11,5,5,7,13,8,2,1,2,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,-0.05633973139019009,0,1.0,0.0,1600.0,1.0,1.0,0.0
08/08/2015,Leicester,Sunderland,H,4,2,3,0,19,10,8,5,13,17,6,3,2,4,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,-0.5455035405504706,0,1.0,0.0,1600.0,1.0,1.0,0.0
08/08/2015,Man United,Tottenham,H,1,0,1,0,9,9,1,4,12,12,1,2,2,3,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,0.26684778935007425,0,1.0,0.0,1600.0,1.0,1.0,0.0
08/08/2015,Norwich,Crystal Palace,A,1,3,0,1,17,11,6,7,14,20,1,4,1,0,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,0.04289262004722361,0,1.0,0.0,1600.0,1.0,1.0,0.0
09/08/2015,Arsenal,West Ham,A,0,2,0,1,22,8,6,4,12,9,5,4,1,3,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,-0.5436312198763866,0,1.0,0.0,1600.0,1.0,1.0,0.0
09/08/2015,Newcastle,Southampton,D,2,2,1,1,9,15,4,5,9,12,6,6,2,4,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,0.28091688048211483,1,1.0,0.0,1600.0,1.0,1.0,0.0
09/08/2015,Stoke,Liverpool,A,0,1,0,0,7,8,1,3,9,16,3,5,2,4,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,0.15105411694960266,0,1.0,0.0,1600.0,1.0,1.0,0.0
10/08/2015,West Brom,Man City,A,0,3,0,2,9,19,2,7,12,9,6,6,4,1,0,0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,1.0,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,10.0,0.0,1.0,10.0,0.0,-0.8774821868539114,1,1.0,0.0,1600.0,1.0,1.0,0.0
