original_team,standardized_team
1. FSV Mainz 05,1_fsv_mainz_05
ACF Fiorentina,acf_fiorentina
AFC Ajax,afc_ajax
AFC Bournemouth,afc_bournemouth
AFC Wimbledon,afc_wimbledon
AFC_Bournemouth,afc_bournemouth
AS Monaco,as_monaco
AS Roma,as_roma
Accrington Stanley,accrington_stanley
Arsenal FC,arsenal
Arsenal_FC,arsenal_fc
Aston Villa,aston_villa
Aston_Villa,aston_villa
Atalanta,atalanta
Atlético Madrid,atltico_madrid
BSC Young Boys,bsc_young_boys
Barnet FC,barnet
Bayern Munich,bayern_munich
Blackburn Rovers,blackburn_rovers
Borussia Dortmund,borussia_dortmund
Brentford FC,brentford
Brentford_FC,brentford_fc
Brighton & Hove Albion,brighton_and_hove_albion
Brighton_&_Hove_Albion,brighton_and_hove_albion
Bristol City,bristol_city
Burnley FC,burnley
Burnley_FC,burnley_fc
Cardiff City,cardiff_city
Cardiff_City,cardiff_city
Chelsea FC,chelsea
Chelsea_FC,chelsea_fc
Colchester United,colchester_united
Coventry City,coventry_city
Crawley Town,crawley_town
Crvena Zvezda,crvena_zvezda
Crystal Palace,crystal_palace
Crystal_Palace,crystal_palace
Derby County,derby_county
Draw,draw
Ebbsfleet United,ebbsfleet_united
Everton FC,everton
Everton_FC,everton_fc
FC Augsburg,fc_augsburg
FC Barcelona,fc_barcelona
FC Dordrecht,fc_dordrecht
FC Porto,fc_porto
FC St. Pauli,fc_st_pauli
Fenerbahçe,fenerbahe
Fulham FC,fulham
Fulham_FC,fulham_fc
Gillingham FC,gillingham
Hertha BSC,hertha_bsc
Huddersfield Town,huddersfield_town
Huddersfield_Town,huddersfield_town
Hull City,hull_city
Hull_City,hull_city
Inter,inter
Ipswich_Town,ipswich_town
Kawasaki Frontale,kawasaki_frontale
Leeds United,leeds_united
Leeds_United,leeds_united
Leicester City,leicester_city
Leicester_City,leicester_city
Lille OSC,lille_osc
Lincoln City,lincoln_city
Liverpool FC,liverpool
Liverpool_FC,liverpool_fc
Luton Town,luton_town
Luton_Town,luton_town
Manchester City,manchester_city
Manchester United,manchester_united
Manchester_City,manchester_city
Manchester_United,manchester_united
Middlesbrough FC,middlesbrough
Middlesbrough_FC,middlesbrough_fc
Millwall FC,millwall
Newcastle United,newcastle_united
Newcastle_United,newcastle_united
Northampton Town,northampton_town
Norwich City,norwich_city
Norwich_City,norwich_city
Nottingham Forest,nottingham_forest
Nottingham_Forest,nottingham_forest
Oldham Athletic,oldham_athletic
Olympique Lyonnais,olympique_lyonnais
Paris Saint-Germain,paris_saint_germain
Preston North End,preston_north_end
RCD Espanyol,rcd_espanyol
Reading FC,reading
Real Betis,real_betis
Real Madrid,real_madrid
S.C. Braga,s_c_braga
SSC Napoli,ssc_napoli
Sampdoria,sampdoria
Sevilla FC,sevilla
Sheffield United,sheffield_united
Sheffield Wednesday,sheffield_wednesday
Sheffield_United,sheffield_united
Southampton FC,southampton
Southampton_FC,southampton_fc
Stade Rennais,stade_rennais
Stoke City,stoke_city
Stoke_City,stoke_city
Sunderland AFC,sunderland_afc
Sunderland_AFC,sunderland_afc
Swansea City,swansea_city
Swansea_City,swansea_city
Tottenham Hotspur,tottenham_hotspur
Tottenham_Hotspur,tottenham_hotspur
Tranmere Rovers,tranmere_rovers
Udinese Calcio,udinese_calcio
Valencia CF,valencia_cf
VfL Bochum,vfl_bochum
Villarreal CF,villarreal_cf
Watford FC,watford
Watford_FC,watford_fc
West Bromwich Albion,west_bromwich_albion
West Ham United,west_ham_united
West_Bromwich_Albion,west_bromwich_albion
West_Ham_United,west_ham_united
Wolverhampton Wanderers,wolverhampton_wanderers
Wolverhampton_Wanderers,wolverhampton_wanderers
