date,season,team,team_win
09/08/2015,2015-2016,Newcastle United,Draw
15/08/2015,2015-2016,Newcastle United,Swansea City
22/08/2015,2015-2016,Newcastle United,Draw
25/08/2015,2015-2016,Newcastle United,Newcastle United
29/08/2015,2015-2016,Newcastle United,Arsenal FC
14/09/2015,2015-2016,Newcastle United,West Ham United
19/09/2015,2015-2016,Newcastle United,Watford FC
23/09/2015,2015-2016,Newcastle United,Sheffield Wednesday
26/09/2015,2015-2016,Newcastle United,Draw
03/10/2015,2015-2016,Newcastle United,Manchester City
18/10/2015,2015-2016,Newcastle United,Newcastle United
25/10/2015,2015-2016,Newcastle United,Sunderland AFC
31/10/2015,2015-2016,Newcastle United,Draw
07/11/2015,2015-2016,Newcastle United,Newcastle United
21/11/2015,2015-2016,Newcastle United,Leicester City
28/11/2015,2015-2016,Newcastle United,Crystal Palace
06/12/2015,2015-2016,Newcastle United,Newcastle United
13/12/2015,2015-2016,Newcastle United,Newcastle United
19/12/2015,2015-2016,Newcastle United,Draw
26/12/2015,2015-2016,Newcastle United,Everton FC
28/12/2015,2015-2016,Newcastle United,West Bromwich Albion
02/01/2016,2015-2016,Newcastle United,Arsenal FC
09/01/2016,2015-2016,Newcastle United,Watford FC
12/01/2016,2015-2016,Newcastle United,Draw
16/01/2016,2015-2016,Newcastle United,Newcastle United
23/01/2016,2015-2016,Newcastle United,Watford FC
03/02/2016,2015-2016,Newcastle United,Everton FC
06/02/2016,2015-2016,Newcastle United,Newcastle United
13/02/2016,2015-2016,Newcastle United,Chelsea FC
02/03/2016,2015-2016,Newcastle United,Stoke City
05/03/2016,2015-2016,Newcastle United,AFC Bournemouth
14/03/2016,2015-2016,Newcastle United,Leicester City
20/03/2016,2015-2016,Newcastle United,Draw
02/04/2016,2015-2016,Newcastle United,Norwich City
09/04/2016,2015-2016,Newcastle United,Southampton FC
16/04/2016,2015-2016,Newcastle United,Newcastle United
19/04/2016,2015-2016,Newcastle United,Draw
23/04/2016,2015-2016,Newcastle United,Draw
30/04/2016,2015-2016,Newcastle United,Newcastle United
07/05/2016,2015-2016,Newcastle United,Draw
15/05/2016,2015-2016,Newcastle United,Newcastle United
