date,season,team,team_win
08/08/2015,2015-2016,Sunderland AFC,Leicester City
15/08/2015,2015-2016,Sunderland AFC,Norwich City
22/08/2015,2015-2016,Sunderland AFC,Draw
25/08/2015,2015-2016,Sunderland AFC,Sunderland AFC
29/08/2015,2015-2016,Sunderland AFC,Draw
13/09/2015,2015-2016,Sunderland AFC,Tottenham Hotspur
19/09/2015,2015-2016,Sunderland AFC,AFC Bournemouth
22/09/2015,2015-2016,Sunderland AFC,Manchester City
26/09/2015,2015-2016,Sunderland AFC,Manchester United
03/10/2015,2015-2016,Sunderland AFC,Draw
17/10/2015,2015-2016,Sunderland AFC,West Bromwich Albion
25/10/2015,2015-2016,Sunderland AFC,Sunderland AFC
01/11/2015,2015-2016,Sunderland AFC,Everton FC
07/11/2015,2015-2016,Sunderland AFC,Southampton FC
23/11/2015,2015-2016,Sunderland AFC,Sunderland AFC
28/11/2015,2015-2016,Sunderland AFC,Sunderland AFC
05/12/2015,2015-2016,Sunderland AFC,Arsenal FC
12/12/2015,2015-2016,Sunderland AFC,Watford FC
19/12/2015,2015-2016,Sunderland AFC,Chelsea FC
26/12/2015,2015-2016,Sunderland AFC,Manchester City
30/12/2015,2015-2016,Sunderland AFC,Liverpool FC
02/01/2016,2015-2016,Sunderland AFC,Sunderland AFC
09/01/2016,2015-2016,Sunderland AFC,Arsenal FC
13/01/2016,2015-2016,Sunderland AFC,Sunderland AFC
16/01/2016,2015-2016,Sunderland AFC,Tottenham Hotspur
23/01/2016,2015-2016,Sunderland AFC,Draw
02/02/2016,2015-2016,Sunderland AFC,Manchester City
06/02/2016,2015-2016,Sunderland AFC,Draw
13/02/2016,2015-2016,Sunderland AFC,Sunderland AFC
27/02/2016,2015-2016,Sunderland AFC,West Ham United
01/03/2016,2015-2016,Sunderland AFC,Draw
05/03/2016,2015-2016,Sunderland AFC,Draw
20/03/2016,2015-2016,Sunderland AFC,Draw
02/04/2016,2015-2016,Sunderland AFC,Draw
10/04/2016,2015-2016,Sunderland AFC,Leicester City
16/04/2016,2015-2016,Sunderland AFC,Sunderland AFC
24/04/2016,2015-2016,Sunderland AFC,Draw
30/04/2016,2015-2016,Sunderland AFC,Draw
07/05/2016,2015-2016,Sunderland AFC,Sunderland AFC
11/05/2016,2015-2016,Sunderland AFC,Sunderland AFC
15/05/2016,2015-2016,Sunderland AFC,Draw
