date,season,team,team_win
08/08/2015,2015-2016,Swansea City,Draw
15/08/2015,2015-2016,Swansea City,Swansea City
22/08/2015,2015-2016,Swansea City,Draw
25/08/2015,2015-2016,Swansea City,Swansea City
30/08/2015,2015-2016,Swansea City,Swansea City
12/09/2015,2015-2016,Swansea City,Watford FC
19/09/2015,2015-2016,Swansea City,Draw
22/09/2015,2015-2016,Swansea City,Hull City
26/09/2015,2015-2016,Swansea City,Southampton FC
04/10/2015,2015-2016,Swansea City,Draw
19/10/2015,2015-2016,Swansea City,Stoke City
24/10/2015,2015-2016,Swansea City,Swansea City
31/10/2015,2015-2016,Swansea City,Arsenal FC
07/11/2015,2015-2016,Swansea City,Norwich City
21/11/2015,2015-2016,Swansea City,Draw
29/11/2015,2015-2016,Swansea City,Liverpool FC
05/12/2015,2015-2016,Swansea City,Leicester City
12/12/2015,2015-2016,Swansea City,Manchester City
20/12/2015,2015-2016,Swansea City,Draw
26/12/2015,2015-2016,Swansea City,Swansea City
28/12/2015,2015-2016,Swansea City,Draw
02/01/2016,2015-2016,Swansea City,Manchester United
10/01/2016,2015-2016,Swansea City,Oxford United
13/01/2016,2015-2016,Swansea City,Sunderland AFC
18/01/2016,2015-2016,Swansea City,Swansea City
24/01/2016,2015-2016,Swansea City,Swansea City
02/02/2016,2015-2016,Swansea City,Draw
06/02/2016,2015-2016,Swansea City,Draw
13/02/2016,2015-2016,Swansea City,Southampton FC
28/02/2016,2015-2016,Swansea City,Tottenham Hotspur
02/03/2016,2015-2016,Swansea City,Swansea City
05/03/2016,2015-2016,Swansea City,Swansea City
12/03/2016,2015-2016,Swansea City,AFC Bournemouth
19/03/2016,2015-2016,Swansea City,Swansea City
02/04/2016,2015-2016,Swansea City,Draw
09/04/2016,2015-2016,Swansea City,Swansea City
16/04/2016,2015-2016,Swansea City,Newcastle United
24/04/2016,2015-2016,Swansea City,Leicester City
01/05/2016,2015-2016,Swansea City,Swansea City
07/05/2016,2015-2016,Swansea City,Swansea City
15/05/2016,2015-2016,Swansea City,Draw
