date,season,team,team_win
08/08/2015,2015-2016,Watford FC,Draw
15/08/2015,2015-2016,Watford FC,Draw
23/08/2015,2015-2016,Watford FC,Draw
25/08/2015,2015-2016,Watford FC,Preston North End
29/08/2015,2015-2016,Watford FC,Manchester City
12/09/2015,2015-2016,Watford FC,Watford FC
19/09/2015,2015-2016,Watford FC,Watford FC
27/09/2015,2015-2016,Watford FC,Crystal Palace
03/10/2015,2015-2016,Watford FC,Draw
17/10/2015,2015-2016,Watford FC,Arsenal FC
24/10/2015,2015-2016,Watford FC,Watford FC
31/10/2015,2015-2016,Watford FC,Watford FC
07/11/2015,2015-2016,Watford FC,Leicester City
21/11/2015,2015-2016,Watford FC,Manchester United
28/11/2015,2015-2016,Watford FC,Watford FC
05/12/2015,2015-2016,Watford FC,Watford FC
12/12/2015,2015-2016,Watford FC,Watford FC
20/12/2015,2015-2016,Watford FC,Watford FC
26/12/2015,2015-2016,Watford FC,Draw
28/12/2015,2015-2016,Watford FC,Tottenham Hotspur
02/01/2016,2015-2016,Watford FC,Manchester City
09/01/2016,2015-2016,Watford FC,Watford FC
13/01/2016,2015-2016,Watford FC,Southampton FC
18/01/2016,2015-2016,Watford FC,Swansea City
23/01/2016,2015-2016,Watford FC,Watford FC
30/01/2016,2015-2016,Watford FC,Watford FC
03/02/2016,2015-2016,Watford FC,Draw
06/02/2016,2015-2016,Watford FC,Tottenham Hotspur
13/02/2016,2015-2016,Watford FC,Watford FC
20/02/2016,2015-2016,Watford FC,Watford FC
27/02/2016,2015-2016,Watford FC,Draw
02/03/2016,2015-2016,Watford FC,Manchester United
05/03/2016,2015-2016,Watford FC,Leicester City
13/03/2016,2015-2016,Watford FC,Watford FC
19/03/2016,2015-2016,Watford FC,Stoke City
02/04/2016,2015-2016,Watford FC,Arsenal FC
09/04/2016,2015-2016,Watford FC,Draw
16/04/2016,2015-2016,Watford FC,Watford FC
20/04/2016,2015-2016,Watford FC,West Ham United
24/04/2016,2015-2016,Watford FC,Crystal Palace
30/04/2016,2015-2016,Watford FC,Watford FC
08/05/2016,2015-2016,Watford FC,Liverpool FC
11/05/2016,2015-2016,Watford FC,Norwich City
15/05/2016,2015-2016,Watford FC,Draw
