date,season,team,team_win
13/08/2016,2016-2017,Hull City,Hull City
20/08/2016,2016-2017,Hull City,Hull City
23/08/2016,2016-2017,Hull City,Hull City
27/08/2016,2016-2017,Hull City,Manchester United
10/09/2016,2016-2017,Hull City,Draw
17/09/2016,2016-2017,Hull City,Arsenal FC
21/09/2016,2016-2017,Hull City,Hull City
24/09/2016,2016-2017,Hull City,Liverpool FC
01/10/2016,2016-2017,Hull City,Chelsea FC
15/10/2016,2016-2017,Hull City,AFC Bournemouth
22/10/2016,2016-2017,Hull City,Stoke City
25/10/2016,2016-2017,Hull City,Hull City
29/10/2016,2016-2017,Hull City,Watford FC
06/11/2016,2016-2017,Hull City,Hull City
19/11/2016,2016-2017,Hull City,Sunderland AFC
26/11/2016,2016-2017,Hull City,Draw
29/11/2016,2016-2017,Hull City,Hull City
05/12/2016,2016-2017,Hull City,Middlesbrough FC
10/12/2016,2016-2017,Hull City,Draw
14/12/2016,2016-2017,Hull City,Tottenham Hotspur
17/12/2016,2016-2017,Hull City,West Ham United
26/12/2016,2016-2017,Hull City,Manchester City
30/12/2016,2016-2017,Hull City,Draw
02/01/2017,2016-2017,Hull City,West Bromwich Albion
07/01/2017,2016-2017,Hull City,Hull City
10/01/2017,2016-2017,Hull City,Manchester United
14/01/2017,2016-2017,Hull City,Hull City
22/01/2017,2016-2017,Hull City,Chelsea FC
26/01/2017,2016-2017,Hull City,Hull City
29/01/2017,2016-2017,Hull City,Fulham FC
01/02/2017,2016-2017,Hull City,Draw
04/02/2017,2016-2017,Hull City,Hull City
11/02/2017,2016-2017,Hull City,Arsenal FC
25/02/2017,2016-2017,Hull City,Draw
04/03/2017,2016-2017,Hull City,Leicester City
11/03/2017,2016-2017,Hull City,Hull City
18/03/2017,2016-2017,Hull City,Everton FC
01/04/2017,2016-2017,Hull City,Hull City
05/04/2017,2016-2017,Hull City,Hull City
08/04/2017,2016-2017,Hull City,Manchester City
15/04/2017,2016-2017,Hull City,Stoke City
22/04/2017,2016-2017,Hull City,Hull City
29/04/2017,2016-2017,Hull City,Draw
06/05/2017,2016-2017,Hull City,Sunderland AFC
14/05/2017,2016-2017,Hull City,Crystal Palace
21/05/2017,2016-2017,Hull City,Tottenham Hotspur
