date,season,team,team_win
14/08/2016,2016-2017,Liverpool FC,Liverpool FC
20/08/2016,2016-2017,Liverpool FC,Burnley FC
23/08/2016,2016-2017,Liverpool FC,Liverpool FC
27/08/2016,2016-2017,Liverpool FC,Draw
10/09/2016,2016-2017,Liverpool FC,Liverpool FC
16/09/2016,2016-2017,Liverpool FC,Liverpool FC
20/09/2016,2016-2017,Liverpool FC,Liverpool FC
24/09/2016,2016-2017,Liverpool FC,Liverpool FC
01/10/2016,2016-2017,Liverpool FC,Liverpool FC
17/10/2016,2016-2017,Liverpool FC,Draw
22/10/2016,2016-2017,Liverpool FC,Liverpool FC
25/10/2016,2016-2017,Liverpool FC,Liverpool FC
29/10/2016,2016-2017,Liverpool FC,Liverpool FC
06/11/2016,2016-2017,Liverpool FC,Liverpool FC
19/11/2016,2016-2017,Liverpool FC,Draw
26/11/2016,2016-2017,Liverpool FC,Liverpool FC
29/11/2016,2016-2017,Liverpool FC,Liverpool FC
04/12/2016,2016-2017,Liverpool FC,AFC Bournemouth
11/12/2016,2016-2017,Liverpool FC,Draw
14/12/2016,2016-2017,Liverpool FC,Liverpool FC
19/12/2016,2016-2017,Liverpool FC,Liverpool FC
27/12/2016,2016-2017,Liverpool FC,Liverpool FC
31/12/2016,2016-2017,Liverpool FC,Liverpool FC
02/01/2017,2016-2017,Liverpool FC,Draw
08/01/2017,2016-2017,Liverpool FC,Draw
11/01/2017,2016-2017,Liverpool FC,Southampton FC
15/01/2017,2016-2017,Liverpool FC,Draw
18/01/2017,2016-2017,Liverpool FC,Liverpool FC
21/01/2017,2016-2017,Liverpool FC,Swansea City
25/01/2017,2016-2017,Liverpool FC,Southampton FC
28/01/2017,2016-2017,Liverpool FC,Wolverhampton Wanderers
31/01/2017,2016-2017,Liverpool FC,Draw
04/02/2017,2016-2017,Liverpool FC,Hull City
11/02/2017,2016-2017,Liverpool FC,Liverpool FC
27/02/2017,2016-2017,Liverpool FC,Leicester City
04/03/2017,2016-2017,Liverpool FC,Liverpool FC
12/03/2017,2016-2017,Liverpool FC,Liverpool FC
19/03/2017,2016-2017,Liverpool FC,Draw
01/04/2017,2016-2017,Liverpool FC,Liverpool FC
05/04/2017,2016-2017,Liverpool FC,Draw
08/04/2017,2016-2017,Liverpool FC,Liverpool FC
16/04/2017,2016-2017,Liverpool FC,Liverpool FC
23/04/2017,2016-2017,Liverpool FC,Crystal Palace
01/05/2017,2016-2017,Liverpool FC,Liverpool FC
07/05/2017,2016-2017,Liverpool FC,Draw
14/05/2017,2016-2017,Liverpool FC,Liverpool FC
21/05/2017,2016-2017,Liverpool FC,Liverpool FC
