date,season,team,team_win
13/08/2016,2016-2017,Manchester City,Manchester City
16/08/2016,2016-2017,Manchester City,Manchester City
20/08/2016,2016-2017,Manchester City,Manchester City
24/08/2016,2016-2017,Manchester City,Manchester City
28/08/2016,2016-2017,Manchester City,Manchester City
10/09/2016,2016-2017,Manchester City,Manchester City
14/09/2016,2016-2017,Manchester City,Manchester City
17/09/2016,2016-2017,Manchester City,Manchester City
21/09/2016,2016-2017,Manchester City,Manchester City
24/09/2016,2016-2017,Manchester City,Manchester City
28/09/2016,2016-2017,Manchester City,Draw
02/10/2016,2016-2017,Manchester City,Tottenham Hotspur
15/10/2016,2016-2017,Manchester City,Draw
19/10/2016,2016-2017,Manchester City,FC Barcelona
23/10/2016,2016-2017,Manchester City,Draw
26/10/2016,2016-2017,Manchester City,Manchester United
29/10/2016,2016-2017,Manchester City,Manchester City
01/11/2016,2016-2017,Manchester City,Manchester City
05/11/2016,2016-2017,Manchester City,Draw
19/11/2016,2016-2017,Manchester City,Manchester City
23/11/2016,2016-2017,Manchester City,Draw
26/11/2016,2016-2017,Manchester City,Manchester City
03/12/2016,2016-2017,Manchester City,Chelsea FC
06/12/2016,2016-2017,Manchester City,Draw
10/12/2016,2016-2017,Manchester City,Leicester City
14/12/2016,2016-2017,Manchester City,Manchester City
18/12/2016,2016-2017,Manchester City,Manchester City
26/12/2016,2016-2017,Manchester City,Manchester City
31/12/2016,2016-2017,Manchester City,Liverpool FC
02/01/2017,2016-2017,Manchester City,Manchester City
06/01/2017,2016-2017,Manchester City,Manchester City
15/01/2017,2016-2017,Manchester City,Everton FC
21/01/2017,2016-2017,Manchester City,Draw
28/01/2017,2016-2017,Manchester City,Manchester City
01/02/2017,2016-2017,Manchester City,Manchester City
05/02/2017,2016-2017,Manchester City,Manchester City
13/02/2017,2016-2017,Manchester City,Manchester City
18/02/2017,2016-2017,Manchester City,Draw
21/02/2017,2016-2017,Manchester City,Manchester City
01/03/2017,2016-2017,Manchester City,Manchester City
05/03/2017,2016-2017,Manchester City,Manchester City
08/03/2017,2016-2017,Manchester City,Draw
11/03/2017,2016-2017,Manchester City,Manchester City
15/03/2017,2016-2017,Manchester City,AS Monaco
19/03/2017,2016-2017,Manchester City,Draw
02/04/2017,2016-2017,Manchester City,Draw
05/04/2017,2016-2017,Manchester City,Chelsea FC
08/04/2017,2016-2017,Manchester City,Manchester City
15/04/2017,2016-2017,Manchester City,Manchester City
23/04/2017,2016-2017,Manchester City,Arsenal FC
27/04/2017,2016-2017,Manchester City,Draw
30/04/2017,2016-2017,Manchester City,Draw
06/05/2017,2016-2017,Manchester City,Manchester City
13/05/2017,2016-2017,Manchester City,Manchester City
16/05/2017,2016-2017,Manchester City,Manchester City
21/05/2017,2016-2017,Manchester City,Manchester City
