date,season,team,team_win
07/08/2016,2016-2017,Manchester United,Manchester United
14/08/2016,2016-2017,Manchester United,Manchester United
19/08/2016,2016-2017,Manchester United,Manchester United
27/08/2016,2016-2017,Manchester United,Manchester United
10/09/2016,2016-2017,Manchester United,Manchester City
15/09/2016,2016-2017,Manchester United,Feyenoord
18/09/2016,2016-2017,Manchester United,Watford FC
21/09/2016,2016-2017,Manchester United,Manchester United
24/09/2016,2016-2017,Manchester United,Manchester United
29/09/2016,2016-2017,Manchester United,Manchester United
02/10/2016,2016-2017,Manchester United,Draw
17/10/2016,2016-2017,Manchester United,Draw
20/10/2016,2016-2017,Manchester United,Manchester United
23/10/2016,2016-2017,Manchester United,Chelsea FC
26/10/2016,2016-2017,Manchester United,Manchester United
29/10/2016,2016-2017,Manchester United,Draw
03/11/2016,2016-2017,Manchester United,Fenerbahçe
06/11/2016,2016-2017,Manchester United,Manchester United
19/11/2016,2016-2017,Manchester United,Draw
24/11/2016,2016-2017,Manchester United,Manchester United
27/11/2016,2016-2017,Manchester United,Draw
30/11/2016,2016-2017,Manchester United,Manchester United
04/12/2016,2016-2017,Manchester United,Draw
08/12/2016,2016-2017,Manchester United,Manchester United
11/12/2016,2016-2017,Manchester United,Manchester United
14/12/2016,2016-2017,Manchester United,Manchester United
17/12/2016,2016-2017,Manchester United,Manchester United
26/12/2016,2016-2017,Manchester United,Manchester United
31/12/2016,2016-2017,Manchester United,Manchester United
02/01/2017,2016-2017,Manchester United,Manchester United
07/01/2017,2016-2017,Manchester United,Manchester United
10/01/2017,2016-2017,Manchester United,Manchester United
15/01/2017,2016-2017,Manchester United,Draw
21/01/2017,2016-2017,Manchester United,Draw
26/01/2017,2016-2017,Manchester United,Hull City
29/01/2017,2016-2017,Manchester United,Manchester United
01/02/2017,2016-2017,Manchester United,Draw
05/02/2017,2016-2017,Manchester United,Manchester United
11/02/2017,2016-2017,Manchester United,Manchester United
16/02/2017,2016-2017,Manchester United,Manchester United
19/02/2017,2016-2017,Manchester United,Manchester United
22/02/2017,2016-2017,Manchester United,Manchester United
26/02/2017,2016-2017,Manchester United,Manchester United
04/03/2017,2016-2017,Manchester United,Draw
09/03/2017,2016-2017,Manchester United,Draw
13/03/2017,2016-2017,Manchester United,Chelsea FC
16/03/2017,2016-2017,Manchester United,Manchester United
19/03/2017,2016-2017,Manchester United,Manchester United
01/04/2017,2016-2017,Manchester United,Draw
04/04/2017,2016-2017,Manchester United,Draw
09/04/2017,2016-2017,Manchester United,Manchester United
13/04/2017,2016-2017,Manchester United,Draw
16/04/2017,2016-2017,Manchester United,Manchester United
20/04/2017,2016-2017,Manchester United,Manchester United
23/04/2017,2016-2017,Manchester United,Manchester United
27/04/2017,2016-2017,Manchester United,Draw
30/04/2017,2016-2017,Manchester United,Draw
04/05/2017,2016-2017,Manchester United,Manchester United
07/05/2017,2016-2017,Manchester United,Arsenal FC
11/05/2017,2016-2017,Manchester United,Draw
14/05/2017,2016-2017,Manchester United,Tottenham Hotspur
17/05/2017,2016-2017,Manchester United,Draw
21/05/2017,2016-2017,Manchester United,Manchester United
24/05/2017,2016-2017,Manchester United,Manchester United
