date,season,team,team_win
13/08/2016,2016-2017,Middlesbrough FC,Draw
21/08/2016,2016-2017,Middlesbrough FC,Middlesbrough FC
24/08/2016,2016-2017,Middlesbrough FC,Fulham FC
28/08/2016,2016-2017,Middlesbrough FC,Draw
10/09/2016,2016-2017,Middlesbrough FC,Crystal Palace
17/09/2016,2016-2017,Middlesbrough FC,Everton FC
24/09/2016,2016-2017,Middlesbrough FC,Tottenham Hotspur
01/10/2016,2016-2017,Middlesbrough FC,Draw
16/10/2016,2016-2017,Middlesbrough FC,Watford FC
22/10/2016,2016-2017,Middlesbrough FC,Draw
29/10/2016,2016-2017,Middlesbrough FC,Middlesbrough FC
05/11/2016,2016-2017,Middlesbrough FC,Draw
20/11/2016,2016-2017,Middlesbrough FC,Chelsea FC
26/11/2016,2016-2017,Middlesbrough FC,Draw
05/12/2016,2016-2017,Middlesbrough FC,Middlesbrough FC
11/12/2016,2016-2017,Middlesbrough FC,Southampton FC
14/12/2016,2016-2017,Middlesbrough FC,Liverpool FC
17/12/2016,2016-2017,Middlesbrough FC,Middlesbrough FC
26/12/2016,2016-2017,Middlesbrough FC,Burnley FC
31/12/2016,2016-2017,Middlesbrough FC,Manchester United
02/01/2017,2016-2017,Middlesbrough FC,Draw
08/01/2017,2016-2017,Middlesbrough FC,Middlesbrough FC
14/01/2017,2016-2017,Middlesbrough FC,Draw
21/01/2017,2016-2017,Middlesbrough FC,West Ham United
28/01/2017,2016-2017,Middlesbrough FC,Middlesbrough FC
31/01/2017,2016-2017,Middlesbrough FC,Draw
04/02/2017,2016-2017,Middlesbrough FC,Tottenham Hotspur
11/02/2017,2016-2017,Middlesbrough FC,Draw
18/02/2017,2016-2017,Middlesbrough FC,Middlesbrough FC
25/02/2017,2016-2017,Middlesbrough FC,Crystal Palace
04/03/2017,2016-2017,Middlesbrough FC,Stoke City
11/03/2017,2016-2017,Middlesbrough FC,Manchester City
19/03/2017,2016-2017,Middlesbrough FC,Manchester United
02/04/2017,2016-2017,Middlesbrough FC,Draw
05/04/2017,2016-2017,Middlesbrough FC,Hull City
08/04/2017,2016-2017,Middlesbrough FC,Draw
17/04/2017,2016-2017,Middlesbrough FC,Arsenal FC
22/04/2017,2016-2017,Middlesbrough FC,AFC Bournemouth
26/04/2017,2016-2017,Middlesbrough FC,Middlesbrough FC
30/04/2017,2016-2017,Middlesbrough FC,Draw
08/05/2017,2016-2017,Middlesbrough FC,Chelsea FC
13/05/2017,2016-2017,Middlesbrough FC,Southampton FC
21/05/2017,2016-2017,Middlesbrough FC,Liverpool FC
