date,season,team,team_win
13/08/2016,2016-2017,Stoke City,Draw
20/08/2016,2016-2017,Stoke City,Manchester City
23/08/2016,2016-2017,Stoke City,Stoke City
27/08/2016,2016-2017,Stoke City,Everton FC
10/09/2016,2016-2017,Stoke City,Tottenham Hotspur
18/09/2016,2016-2017,Stoke City,Crystal Palace
21/09/2016,2016-2017,Stoke City,Hull City
24/09/2016,2016-2017,Stoke City,Draw
02/10/2016,2016-2017,Stoke City,Draw
15/10/2016,2016-2017,Stoke City,Stoke City
22/10/2016,2016-2017,Stoke City,Stoke City
31/10/2016,2016-2017,Stoke City,Stoke City
05/11/2016,2016-2017,Stoke City,Draw
19/11/2016,2016-2017,Stoke City,AFC Bournemouth
27/11/2016,2016-2017,Stoke City,Stoke City
03/12/2016,2016-2017,Stoke City,Stoke City
10/12/2016,2016-2017,Stoke City,Arsenal FC
14/12/2016,2016-2017,Stoke City,Draw
17/12/2016,2016-2017,Stoke City,Draw
27/12/2016,2016-2017,Stoke City,Liverpool FC
31/12/2016,2016-2017,Stoke City,Chelsea FC
03/01/2017,2016-2017,Stoke City,Stoke City
07/01/2017,2016-2017,Stoke City,Wolverhampton Wanderers
14/01/2017,2016-2017,Stoke City,Stoke City
21/01/2017,2016-2017,Stoke City,Draw
01/02/2017,2016-2017,Stoke City,Draw
04/02/2017,2016-2017,Stoke City,West Bromwich Albion
11/02/2017,2016-2017,Stoke City,Stoke City
26/02/2017,2016-2017,Stoke City,Tottenham Hotspur
04/03/2017,2016-2017,Stoke City,Stoke City
08/03/2017,2016-2017,Stoke City,Draw
18/03/2017,2016-2017,Stoke City,Chelsea FC
01/04/2017,2016-2017,Stoke City,Leicester City
04/04/2017,2016-2017,Stoke City,Burnley FC
08/04/2017,2016-2017,Stoke City,Liverpool FC
15/04/2017,2016-2017,Stoke City,Stoke City
22/04/2017,2016-2017,Stoke City,Swansea City
29/04/2017,2016-2017,Stoke City,Draw
06/05/2017,2016-2017,Stoke City,Draw
13/05/2017,2016-2017,Stoke City,Arsenal FC
21/05/2017,2016-2017,Stoke City,Stoke City
