date,season,team,team_win
13/08/2016,2016-2017,Tottenham Hotspur,Draw
20/08/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
27/08/2016,2016-2017,Tottenham Hotspur,Draw
10/09/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
14/09/2016,2016-2017,Tottenham Hotspur,AS Monaco
18/09/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
21/09/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
24/09/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
27/09/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
02/10/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
15/10/2016,2016-2017,Tottenham Hotspur,Draw
18/10/2016,2016-2017,Tottenham Hotspur,Draw
22/10/2016,2016-2017,Tottenham Hotspur,Draw
25/10/2016,2016-2017,Tottenham Hotspur,Liverpool FC
29/10/2016,2016-2017,Tottenham Hotspur,Draw
02/11/2016,2016-2017,Tottenham Hotspur,Bayer Leverkusen
06/11/2016,2016-2017,Tottenham Hotspur,Draw
19/11/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
22/11/2016,2016-2017,Tottenham Hotspur,AS Monaco
26/11/2016,2016-2017,Tottenham Hotspur,Chelsea FC
03/12/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
07/12/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
11/12/2016,2016-2017,Tottenham Hotspur,Manchester United
14/12/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
18/12/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
28/12/2016,2016-2017,Tottenham Hotspur,Tottenham Hotspur
01/01/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
04/01/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
08/01/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
14/01/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
21/01/2017,2016-2017,Tottenham Hotspur,Draw
28/01/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
31/01/2017,2016-2017,Tottenham Hotspur,Draw
04/02/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
11/02/2017,2016-2017,Tottenham Hotspur,Liverpool FC
16/02/2017,2016-2017,Tottenham Hotspur,KAA Gent
19/02/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
23/02/2017,2016-2017,Tottenham Hotspur,Draw
26/02/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
05/03/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
12/03/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
19/03/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
01/04/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
05/04/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
08/04/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
15/04/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
22/04/2017,2016-2017,Tottenham Hotspur,Chelsea FC
26/04/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
30/04/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
05/05/2017,2016-2017,Tottenham Hotspur,West Ham United
14/05/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
18/05/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
21/05/2017,2016-2017,Tottenham Hotspur,Tottenham Hotspur
