date,season,team,team_win
13/08/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
20/08/2016,2016-2017,West Bromwich Albion,Everton FC
23/08/2016,2016-2017,West Bromwich Albion,Northampton Town
28/08/2016,2016-2017,West Bromwich Albion,Draw
10/09/2016,2016-2017,West Bromwich Albion,AFC Bournemouth
17/09/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
24/09/2016,2016-2017,West Bromwich Albion,Draw
01/10/2016,2016-2017,West Bromwich Albion,Draw
15/10/2016,2016-2017,West Bromwich Albion,Draw
22/10/2016,2016-2017,West Bromwich Albion,Liverpool FC
29/10/2016,2016-2017,West Bromwich Albion,Manchester City
06/11/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
21/11/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
26/11/2016,2016-2017,West Bromwich Albion,Draw
03/12/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
11/12/2016,2016-2017,West Bromwich Albion,Chelsea FC
14/12/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
17/12/2016,2016-2017,West Bromwich Albion,Manchester United
26/12/2016,2016-2017,West Bromwich Albion,Arsenal FC
31/12/2016,2016-2017,West Bromwich Albion,West Bromwich Albion
02/01/2017,2016-2017,West Bromwich Albion,West Bromwich Albion
07/01/2017,2016-2017,West Bromwich Albion,Derby County
14/01/2017,2016-2017,West Bromwich Albion,Tottenham Hotspur
21/01/2017,2016-2017,West Bromwich Albion,West Bromwich Albion
31/01/2017,2016-2017,West Bromwich Albion,Draw
04/02/2017,2016-2017,West Bromwich Albion,West Bromwich Albion
11/02/2017,2016-2017,West Bromwich Albion,Draw
25/02/2017,2016-2017,West Bromwich Albion,West Bromwich Albion
04/03/2017,2016-2017,West Bromwich Albion,Crystal Palace
11/03/2017,2016-2017,West Bromwich Albion,Everton FC
18/03/2017,2016-2017,West Bromwich Albion,West Bromwich Albion
01/04/2017,2016-2017,West Bromwich Albion,Draw
04/04/2017,2016-2017,West Bromwich Albion,Watford FC
08/04/2017,2016-2017,West Bromwich Albion,Southampton FC
16/04/2017,2016-2017,West Bromwich Albion,Liverpool FC
29/04/2017,2016-2017,West Bromwich Albion,Leicester City
06/05/2017,2016-2017,West Bromwich Albion,Draw
12/05/2017,2016-2017,West Bromwich Albion,Chelsea FC
16/05/2017,2016-2017,West Bromwich Albion,Manchester City
21/05/2017,2016-2017,West Bromwich Albion,Swansea City
