date,season,team,team_win
30/07/2017,2017-2018,AFC Bournemouth,Valencia CF
06/08/2017,2017-2018,AFC Bournemouth,Draw
12/08/2017,2017-2018,AFC Bournemouth,West Bromwich Albion
19/08/2017,2017-2018,AFC Bournemouth,Watford FC
22/08/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
26/08/2017,2017-2018,AFC Bournemouth,Manchester City
09/09/2017,2017-2018,AFC Bournemouth,Arsenal FC
15/09/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
19/09/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
23/09/2017,2017-2018,AFC Bournemouth,Everton FC
30/09/2017,2017-2018,AFC Bournemouth,Draw
14/10/2017,2017-2018,AFC Bournemouth,Tottenham Hotspur
21/10/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
24/10/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
28/10/2017,2017-2018,AFC Bournemouth,Chelsea FC
04/11/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
18/11/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
25/11/2017,2017-2018,AFC Bournemouth,Draw
29/11/2017,2017-2018,AFC Bournemouth,Burnley FC
03/12/2017,2017-2018,AFC Bournemouth,Draw
09/12/2017,2017-2018,AFC Bournemouth,Draw
13/12/2017,2017-2018,AFC Bournemouth,Manchester United
17/12/2017,2017-2018,AFC Bournemouth,Liverpool FC
20/12/2017,2017-2018,AFC Bournemouth,Chelsea FC
23/12/2017,2017-2018,AFC Bournemouth,Manchester City
26/12/2017,2017-2018,AFC Bournemouth,Draw
30/12/2017,2017-2018,AFC Bournemouth,AFC Bournemouth
01/01/2018,2017-2018,AFC Bournemouth,Draw
06/01/2018,2017-2018,AFC Bournemouth,Draw
14/01/2018,2017-2018,AFC Bournemouth,AFC Bournemouth
17/01/2018,2017-2018,AFC Bournemouth,Wigan Athletic
20/01/2018,2017-2018,AFC Bournemouth,Draw
31/01/2018,2017-2018,AFC Bournemouth,AFC Bournemouth
03/02/2018,2017-2018,AFC Bournemouth,AFC Bournemouth
11/02/2018,2017-2018,AFC Bournemouth,Huddersfield Town
24/02/2018,2017-2018,AFC Bournemouth,Draw
03/03/2018,2017-2018,AFC Bournemouth,Draw
11/03/2018,2017-2018,AFC Bournemouth,Tottenham Hotspur
17/03/2018,2017-2018,AFC Bournemouth,AFC Bournemouth
31/03/2018,2017-2018,AFC Bournemouth,Draw
07/04/2018,2017-2018,AFC Bournemouth,Draw
14/04/2018,2017-2018,AFC Bournemouth,Liverpool FC
18/04/2018,2017-2018,AFC Bournemouth,Manchester United
28/04/2018,2017-2018,AFC Bournemouth,Southampton FC
05/05/2018,2017-2018,AFC Bournemouth,AFC Bournemouth
13/05/2018,2017-2018,AFC Bournemouth,AFC Bournemouth
