date,season,team,team_win
13/07/2017,2017-2018,Arsenal FC,Arsenal FC
19/07/2017,2017-2018,Arsenal FC,Arsenal FC
22/07/2017,2017-2018,Arsenal FC,Chelsea FC
29/07/2017,2017-2018,Arsenal FC,Arsenal FC
30/07/2017,2017-2018,Arsenal FC,Sevilla FC
06/08/2017,2017-2018,Arsenal FC,Arsenal FC
11/08/2017,2017-2018,Arsenal FC,Arsenal FC
19/08/2017,2017-2018,Arsenal FC,Stoke City
27/08/2017,2017-2018,Arsenal FC,Liverpool FC
09/09/2017,2017-2018,Arsenal FC,Arsenal FC
14/09/2017,2017-2018,Arsenal FC,Arsenal FC
17/09/2017,2017-2018,Arsenal FC,Draw
20/09/2017,2017-2018,Arsenal FC,Arsenal FC
25/09/2017,2017-2018,Arsenal FC,Arsenal FC
28/09/2017,2017-2018,Arsenal FC,Arsenal FC
01/10/2017,2017-2018,Arsenal FC,Arsenal FC
14/10/2017,2017-2018,Arsenal FC,Watford FC
19/10/2017,2017-2018,Arsenal FC,Arsenal FC
22/10/2017,2017-2018,Arsenal FC,Arsenal FC
24/10/2017,2017-2018,Arsenal FC,Arsenal FC
28/10/2017,2017-2018,Arsenal FC,Arsenal FC
02/11/2017,2017-2018,Arsenal FC,Draw
05/11/2017,2017-2018,Arsenal FC,Manchester City
18/11/2017,2017-2018,Arsenal FC,Arsenal FC
23/11/2017,2017-2018,Arsenal FC,1. FC Köln
26/11/2017,2017-2018,Arsenal FC,Arsenal FC
29/11/2017,2017-2018,Arsenal FC,Arsenal FC
02/12/2017,2017-2018,Arsenal FC,Manchester United
07/12/2017,2017-2018,Arsenal FC,Arsenal FC
10/12/2017,2017-2018,Arsenal FC,Draw
13/12/2017,2017-2018,Arsenal FC,Draw
16/12/2017,2017-2018,Arsenal FC,Arsenal FC
19/12/2017,2017-2018,Arsenal FC,Arsenal FC
22/12/2017,2017-2018,Arsenal FC,Draw
28/12/2017,2017-2018,Arsenal FC,Arsenal FC
31/12/2017,2017-2018,Arsenal FC,Draw
03/01/2018,2017-2018,Arsenal FC,Draw
07/01/2018,2017-2018,Arsenal FC,Nottingham Forest
10/01/2018,2017-2018,Arsenal FC,Draw
14/01/2018,2017-2018,Arsenal FC,AFC Bournemouth
20/01/2018,2017-2018,Arsenal FC,Arsenal FC
24/01/2018,2017-2018,Arsenal FC,Arsenal FC
30/01/2018,2017-2018,Arsenal FC,Swansea City
03/02/2018,2017-2018,Arsenal FC,Arsenal FC
10/02/2018,2017-2018,Arsenal FC,Tottenham Hotspur
15/02/2018,2017-2018,Arsenal FC,Arsenal FC
22/02/2018,2017-2018,Arsenal FC,Östersunds FK
25/02/2018,2017-2018,Arsenal FC,Manchester City
01/03/2018,2017-2018,Arsenal FC,Manchester City
04/03/2018,2017-2018,Arsenal FC,Brighton & Hove Albion
08/03/2018,2017-2018,Arsenal FC,Arsenal FC
11/03/2018,2017-2018,Arsenal FC,Arsenal FC
15/03/2018,2017-2018,Arsenal FC,Arsenal FC
01/04/2018,2017-2018,Arsenal FC,Arsenal FC
05/04/2018,2017-2018,Arsenal FC,Arsenal FC
08/04/2018,2017-2018,Arsenal FC,Arsenal FC
12/04/2018,2017-2018,Arsenal FC,Draw
15/04/2018,2017-2018,Arsenal FC,Newcastle United
22/04/2018,2017-2018,Arsenal FC,Arsenal FC
26/04/2018,2017-2018,Arsenal FC,Draw
29/04/2018,2017-2018,Arsenal FC,Manchester United
03/05/2018,2017-2018,Arsenal FC,Atlético Madrid
06/05/2018,2017-2018,Arsenal FC,Arsenal FC
09/05/2018,2017-2018,Arsenal FC,Leicester City
13/05/2018,2017-2018,Arsenal FC,Arsenal FC
