date,season,team,team_win
13/07/2018,2018-2019,Cardiff City,Cardiff City
18/07/2018,2018-2019,Cardiff City,Cardiff City
20/07/2018,2018-2019,Cardiff City,Draw
25/07/2018,2018-2019,Cardiff City,Rotherham United
28/07/2018,2018-2019,Cardiff City,Cardiff City
03/08/2018,2018-2019,Cardiff City,Cardiff City
04/08/2018,2018-2019,Cardiff City,Real Betis
11/08/2018,2018-2019,Cardiff City,AFC Bournemouth
18/08/2018,2018-2019,Cardiff City,Draw
25/08/2018,2018-2019,Cardiff City,Draw
28/08/2018,2018-2019,Cardiff City,Norwich City
02/09/2018,2018-2019,Cardiff City,Arsenal FC
15/09/2018,2018-2019,Cardiff City,Chelsea FC
22/09/2018,2018-2019,Cardiff City,Manchester City
30/09/2018,2018-2019,Cardiff City,Burnley FC
06/10/2018,2018-2019,Cardiff City,Tottenham Hotspur
20/10/2018,2018-2019,Cardiff City,Cardiff City
27/10/2018,2018-2019,Cardiff City,Liverpool FC
03/11/2018,2018-2019,Cardiff City,Leicester City
10/11/2018,2018-2019,Cardiff City,Cardiff City
24/11/2018,2018-2019,Cardiff City,Everton FC
30/11/2018,2018-2019,Cardiff City,Cardiff City
04/12/2018,2018-2019,Cardiff City,West Ham United
08/12/2018,2018-2019,Cardiff City,Cardiff City
15/12/2018,2018-2019,Cardiff City,Watford FC
22/12/2018,2018-2019,Cardiff City,Manchester United
26/12/2018,2018-2019,Cardiff City,Draw
29/12/2018,2018-2019,Cardiff City,Cardiff City
01/01/2019,2018-2019,Cardiff City,Tottenham Hotspur
05/01/2019,2018-2019,Cardiff City,Gillingham FC
12/01/2019,2018-2019,Cardiff City,Draw
19/01/2019,2018-2019,Cardiff City,Newcastle United
29/01/2019,2018-2019,Cardiff City,Arsenal FC
02/02/2019,2018-2019,Cardiff City,Cardiff City
09/02/2019,2018-2019,Cardiff City,Cardiff City
22/02/2019,2018-2019,Cardiff City,Watford FC
26/02/2019,2018-2019,Cardiff City,Everton FC
02/03/2019,2018-2019,Cardiff City,Wolverhampton Wanderers
09/03/2019,2018-2019,Cardiff City,Cardiff City
31/03/2019,2018-2019,Cardiff City,Chelsea FC
03/04/2019,2018-2019,Cardiff City,Manchester City
13/04/2019,2018-2019,Cardiff City,Burnley FC
16/04/2019,2018-2019,Cardiff City,Cardiff City
21/04/2019,2018-2019,Cardiff City,Liverpool FC
27/04/2019,2018-2019,Cardiff City,Fulham FC
04/05/2019,2018-2019,Cardiff City,Crystal Palace
12/05/2019,2018-2019,Cardiff City,Cardiff City
19/07/2019,2018-2019,Cardiff City,Draw
21/07/2019,2018-2019,Cardiff City,Draw
27/07/2019,2018-2019,Cardiff City,Cardiff City
03/08/2019,2018-2019,Cardiff City,Wigan Athletic
10/08/2019,2018-2019,Cardiff City,Cardiff City
18/08/2019,2018-2019,Cardiff City,Reading FC
21/08/2019,2018-2019,Cardiff City,Cardiff City
24/08/2019,2018-2019,Cardiff City,Draw
27/08/2019,2018-2019,Cardiff City,Luton Town
30/08/2019,2018-2019,Cardiff City,Draw
13/09/2019,2018-2019,Cardiff City,Draw
21/09/2019,2018-2019,Cardiff City,Cardiff City
28/09/2019,2018-2019,Cardiff City,Draw
02/10/2019,2018-2019,Cardiff City,Cardiff City
05/10/2019,2018-2019,Cardiff City,West Bromwich Albion
18/10/2019,2018-2019,Cardiff City,Draw
22/10/2019,2018-2019,Cardiff City,Draw
27/10/2019,2018-2019,Cardiff City,Swansea City
02/11/2019,2018-2019,Cardiff City,Cardiff City
10/11/2019,2018-2019,Cardiff City,Bristol City
23/11/2019,2018-2019,Cardiff City,Draw
26/11/2019,2018-2019,Cardiff City,Cardiff City
30/11/2019,2018-2019,Cardiff City,Cardiff City
07/12/2019,2018-2019,Cardiff City,Cardiff City
11/12/2019,2018-2019,Cardiff City,Brentford FC
14/12/2019,2018-2019,Cardiff City,Draw
21/12/2019,2018-2019,Cardiff City,Draw
26/12/2019,2018-2019,Cardiff City,Draw
