date,season,team,team_win
10/07/2018,2018-2019,Huddersfield Town,Huddersfield Town
14/07/2018,2018-2019,Huddersfield Town,Accrington Stanley
18/07/2018,2018-2019,Huddersfield Town,Draw
21/07/2018,2018-2019,Huddersfield Town,Real Betis
22/07/2018,2018-2019,Huddersfield Town,Draw
25/07/2018,2018-2019,Huddersfield Town,Huddersfield Town
31/07/2018,2018-2019,Huddersfield Town,Huddersfield Town
03/08/2018,2018-2019,Huddersfield Town,Huddersfield Town
11/08/2018,2018-2019,Huddersfield Town,Chelsea FC
19/08/2018,2018-2019,Huddersfield Town,Manchester City
25/08/2018,2018-2019,Huddersfield Town,Draw
28/08/2018,2018-2019,Huddersfield Town,Stoke City
01/09/2018,2018-2019,Huddersfield Town,Draw
15/09/2018,2018-2019,Huddersfield Town,Crystal Palace
22/09/2018,2018-2019,Huddersfield Town,Leicester City
29/09/2018,2018-2019,Huddersfield Town,Tottenham Hotspur
06/10/2018,2018-2019,Huddersfield Town,Draw
20/10/2018,2018-2019,Huddersfield Town,Liverpool FC
27/10/2018,2018-2019,Huddersfield Town,Watford FC
05/11/2018,2018-2019,Huddersfield Town,Huddersfield Town
10/11/2018,2018-2019,Huddersfield Town,Draw
25/11/2018,2018-2019,Huddersfield Town,Huddersfield Town
01/12/2018,2018-2019,Huddersfield Town,Brighton & Hove Albion
04/12/2018,2018-2019,Huddersfield Town,AFC Bournemouth
08/12/2018,2018-2019,Huddersfield Town,Arsenal FC
15/12/2018,2018-2019,Huddersfield Town,Newcastle United
22/12/2018,2018-2019,Huddersfield Town,Southampton FC
26/12/2018,2018-2019,Huddersfield Town,Manchester United
29/12/2018,2018-2019,Huddersfield Town,Fulham FC
02/01/2019,2018-2019,Huddersfield Town,Burnley FC
05/01/2019,2018-2019,Huddersfield Town,Bristol City
12/01/2019,2018-2019,Huddersfield Town,Draw
20/01/2019,2018-2019,Huddersfield Town,Manchester City
29/01/2019,2018-2019,Huddersfield Town,Everton FC
02/02/2019,2018-2019,Huddersfield Town,Chelsea FC
09/02/2019,2018-2019,Huddersfield Town,Arsenal FC
23/02/2019,2018-2019,Huddersfield Town,Newcastle United
26/02/2019,2018-2019,Huddersfield Town,Huddersfield Town
02/03/2019,2018-2019,Huddersfield Town,Brighton & Hove Albion
09/03/2019,2018-2019,Huddersfield Town,AFC Bournemouth
16/03/2019,2018-2019,Huddersfield Town,West Ham United
30/03/2019,2018-2019,Huddersfield Town,Crystal Palace
06/04/2019,2018-2019,Huddersfield Town,Leicester City
13/04/2019,2018-2019,Huddersfield Town,Tottenham Hotspur
20/04/2019,2018-2019,Huddersfield Town,Watford FC
26/04/2019,2018-2019,Huddersfield Town,Liverpool FC
05/05/2019,2018-2019,Huddersfield Town,Draw
12/05/2019,2018-2019,Huddersfield Town,Draw
10/07/2019,2018-2019,Huddersfield Town,Draw
10/07/2019,2018-2019,Huddersfield Town,Huddersfield Town
13/07/2019,2018-2019,Huddersfield Town,Huddersfield Town
17/07/2019,2018-2019,Huddersfield Town,Huddersfield Town
24/07/2019,2018-2019,Huddersfield Town,Huddersfield Town
27/07/2019,2018-2019,Huddersfield Town,Draw
05/08/2019,2018-2019,Huddersfield Town,Derby County
10/08/2019,2018-2019,Huddersfield Town,Draw
13/08/2019,2018-2019,Huddersfield Town,Lincoln City
16/08/2019,2018-2019,Huddersfield Town,Fulham FC
21/08/2019,2018-2019,Huddersfield Town,Cardiff City
24/08/2019,2018-2019,Huddersfield Town,Reading FC
31/08/2019,2018-2019,Huddersfield Town,Luton Town
15/09/2019,2018-2019,Huddersfield Town,Sheffield Wednesday
22/09/2019,2018-2019,Huddersfield Town,West Bromwich Albion
28/09/2019,2018-2019,Huddersfield Town,Draw
01/10/2019,2018-2019,Huddersfield Town,Huddersfield Town
05/10/2019,2018-2019,Huddersfield Town,Huddersfield Town
19/10/2019,2018-2019,Huddersfield Town,Draw
23/10/2019,2018-2019,Huddersfield Town,Draw
26/10/2019,2018-2019,Huddersfield Town,Huddersfield Town
02/11/2019,2018-2019,Huddersfield Town,Huddersfield Town
09/11/2019,2018-2019,Huddersfield Town,Preston North End
23/11/2019,2018-2019,Huddersfield Town,Draw
26/11/2019,2018-2019,Huddersfield Town,Draw
30/11/2019,2018-2019,Huddersfield Town,Bristol City
07/12/2019,2018-2019,Huddersfield Town,Leeds United
10/12/2019,2018-2019,Huddersfield Town,Huddersfield Town
14/12/2019,2018-2019,Huddersfield Town,Draw
21/12/2019,2018-2019,Huddersfield Town,Huddersfield Town
26/12/2019,2018-2019,Huddersfield Town,Middlesbrough FC
