date,season,team,team_win
20/07/2019,2019-2020,Burnley FC,Crewe Alexandra
20/07/2019,2019-2020,Burnley FC,Burnley FC
23/07/2019,2019-2020,Burnley FC,Burnley FC
27/07/2019,2019-2020,Burnley FC,Draw
30/07/2019,2019-2020,Burnley FC,Burnley FC
03/08/2019,2019-2020,Burnley FC,Burnley FC
10/08/2019,2019-2020,Burnley FC,Burnley FC
17/08/2019,2019-2020,Burnley FC,Arsenal FC
25/08/2019,2019-2020,Burnley FC,Draw
28/08/2019,2019-2020,Burnley FC,Sunderland AFC
31/08/2019,2019-2020,Burnley FC,Liverpool FC
14/09/2019,2019-2020,Burnley FC,Draw
21/09/2019,2019-2020,Burnley FC,Burnley FC
28/09/2019,2019-2020,Burnley FC,Draw
05/10/2019,2019-2020,Burnley FC,Burnley FC
19/10/2019,2019-2020,Burnley FC,Leicester City
26/10/2019,2019-2020,Burnley FC,Chelsea FC
02/11/2019,2019-2020,Burnley FC,Sheffield United
09/11/2019,2019-2020,Burnley FC,Burnley FC
23/11/2019,2019-2020,Burnley FC,Burnley FC
30/11/2019,2019-2020,Burnley FC,Crystal Palace
03/12/2019,2019-2020,Burnley FC,Manchester City
07/12/2019,2019-2020,Burnley FC,Tottenham Hotspur
14/12/2019,2019-2020,Burnley FC,Burnley FC
21/12/2019,2019-2020,Burnley FC,Burnley FC
26/12/2019,2019-2020,Burnley FC,Everton FC
28/12/2019,2019-2020,Burnley FC,Manchester United
01/01/2020,2019-2020,Burnley FC,Aston Villa
04/01/2020,2019-2020,Burnley FC,Burnley FC
11/01/2020,2019-2020,Burnley FC,Chelsea FC
19/01/2020,2019-2020,Burnley FC,Burnley FC
22/01/2020,2019-2020,Burnley FC,Burnley FC
25/01/2020,2019-2020,Burnley FC,Norwich City
02/02/2020,2019-2020,Burnley FC,Draw
15/02/2020,2019-2020,Burnley FC,Burnley FC
22/02/2020,2019-2020,Burnley FC,Burnley FC
29/02/2020,2019-2020,Burnley FC,Draw
07/03/2020,2019-2020,Burnley FC,Draw
22/06/2020,2019-2020,Burnley FC,Manchester City
25/06/2020,2019-2020,Burnley FC,Burnley FC
29/06/2020,2019-2020,Burnley FC,Burnley FC
