date,season,team,team_win
10/07/2019,2019-2020,Chelsea FC,Draw
13/07/2019,2019-2020,Chelsea FC,Chelsea FC
19/07/2019,2019-2020,Chelsea FC,Kawasaki Frontale
23/07/2019,2019-2020,Chelsea FC,Chelsea FC
27/07/2019,2019-2020,Chelsea FC,Draw
28/07/2019,2019-2020,Chelsea FC,Chelsea FC
31/07/2019,2019-2020,Chelsea FC,Chelsea FC
03/08/2019,2019-2020,Chelsea FC,Draw
11/08/2019,2019-2020,Chelsea FC,Manchester United
14/08/2019,2019-2020,Chelsea FC,Liverpool FC
18/08/2019,2019-2020,Chelsea FC,Draw
24/08/2019,2019-2020,Chelsea FC,Chelsea FC
31/08/2019,2019-2020,Chelsea FC,Draw
14/09/2019,2019-2020,Chelsea FC,Chelsea FC
17/09/2019,2019-2020,Chelsea FC,Valencia CF
22/09/2019,2019-2020,Chelsea FC,Liverpool FC
25/09/2019,2019-2020,Chelsea FC,Chelsea FC
28/09/2019,2019-2020,Chelsea FC,Chelsea FC
02/10/2019,2019-2020,Chelsea FC,Chelsea FC
06/10/2019,2019-2020,Chelsea FC,Chelsea FC
19/10/2019,2019-2020,Chelsea FC,Chelsea FC
23/10/2019,2019-2020,Chelsea FC,Chelsea FC
26/10/2019,2019-2020,Chelsea FC,Chelsea FC
30/10/2019,2019-2020,Chelsea FC,Manchester United
02/11/2019,2019-2020,Chelsea FC,Chelsea FC
05/11/2019,2019-2020,Chelsea FC,Draw
09/11/2019,2019-2020,Chelsea FC,Chelsea FC
23/11/2019,2019-2020,Chelsea FC,Manchester City
27/11/2019,2019-2020,Chelsea FC,Draw
30/11/2019,2019-2020,Chelsea FC,West Ham United
04/12/2019,2019-2020,Chelsea FC,Chelsea FC
07/12/2019,2019-2020,Chelsea FC,Everton FC
10/12/2019,2019-2020,Chelsea FC,Chelsea FC
14/12/2019,2019-2020,Chelsea FC,AFC Bournemouth
22/12/2019,2019-2020,Chelsea FC,Chelsea FC
26/12/2019,2019-2020,Chelsea FC,Southampton FC
29/12/2019,2019-2020,Chelsea FC,Chelsea FC
01/01/2020,2019-2020,Chelsea FC,Draw
05/01/2020,2019-2020,Chelsea FC,Chelsea FC
11/01/2020,2019-2020,Chelsea FC,Chelsea FC
18/01/2020,2019-2020,Chelsea FC,Newcastle United
21/01/2020,2019-2020,Chelsea FC,Draw
25/01/2020,2019-2020,Chelsea FC,Chelsea FC
01/02/2020,2019-2020,Chelsea FC,Draw
17/02/2020,2019-2020,Chelsea FC,Manchester United
22/02/2020,2019-2020,Chelsea FC,Chelsea FC
25/02/2020,2019-2020,Chelsea FC,Bayern Munich
29/02/2020,2019-2020,Chelsea FC,Draw
03/03/2020,2019-2020,Chelsea FC,Chelsea FC
08/03/2020,2019-2020,Chelsea FC,Chelsea FC
21/06/2020,2019-2020,Chelsea FC,Chelsea FC
25/06/2020,2019-2020,Chelsea FC,Chelsea FC
28/06/2020,2019-2020,Chelsea FC,Chelsea FC
