date,season,team,team_win
14/07/2019,2019-2020,Southampton FC,Draw
20/07/2019,2019-2020,Southampton FC,Southampton FC
23/07/2019,2019-2020,Southampton FC,Southampton FC
28/07/2019,2019-2020,Southampton FC,Southampton FC
03/08/2019,2019-2020,Southampton FC,Southampton FC
10/08/2019,2019-2020,Southampton FC,Burnley FC
17/08/2019,2019-2020,Southampton FC,Liverpool FC
24/08/2019,2019-2020,Southampton FC,Southampton FC
27/08/2019,2019-2020,Southampton FC,Southampton FC
31/08/2019,2019-2020,Southampton FC,Draw
14/09/2019,2019-2020,Southampton FC,Southampton FC
20/09/2019,2019-2020,Southampton FC,AFC Bournemouth
24/09/2019,2019-2020,Southampton FC,Southampton FC
28/09/2019,2019-2020,Southampton FC,Tottenham Hotspur
06/10/2019,2019-2020,Southampton FC,Chelsea FC
19/10/2019,2019-2020,Southampton FC,Draw
25/10/2019,2019-2020,Southampton FC,Leicester City
29/10/2019,2019-2020,Southampton FC,Manchester City
02/11/2019,2019-2020,Southampton FC,Manchester City
09/11/2019,2019-2020,Southampton FC,Everton FC
23/11/2019,2019-2020,Southampton FC,Draw
30/11/2019,2019-2020,Southampton FC,Southampton FC
04/12/2019,2019-2020,Southampton FC,Southampton FC
08/12/2019,2019-2020,Southampton FC,Newcastle United
14/12/2019,2019-2020,Southampton FC,West Ham United
21/12/2019,2019-2020,Southampton FC,Southampton FC
26/12/2019,2019-2020,Southampton FC,Southampton FC
28/12/2019,2019-2020,Southampton FC,Draw
01/01/2020,2019-2020,Southampton FC,Southampton FC
04/01/2020,2019-2020,Southampton FC,Southampton FC
11/01/2020,2019-2020,Southampton FC,Southampton FC
18/01/2020,2019-2020,Southampton FC,Wolverhampton Wanderers
21/01/2020,2019-2020,Southampton FC,Southampton FC
25/01/2020,2019-2020,Southampton FC,Draw
01/02/2020,2019-2020,Southampton FC,Liverpool FC
05/02/2020,2019-2020,Southampton FC,Tottenham Hotspur
15/02/2020,2019-2020,Southampton FC,Burnley FC
22/02/2020,2019-2020,Southampton FC,Southampton FC
29/02/2020,2019-2020,Southampton FC,West Ham United
07/03/2020,2019-2020,Southampton FC,Newcastle United
19/06/2020,2019-2020,Southampton FC,Southampton FC
25/06/2020,2019-2020,Southampton FC,Arsenal FC
28/06/2020,2019-2020,Southampton FC,Southampton FC
