date,season,team,team_win
04/07/2020,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
08/07/2020,2020-2021,Brighton & Hove Albion,Liverpool FC
11/07/2020,2020-2021,Brighton & Hove Albion,Manchester City
16/07/2020,2020-2021,Brighton & Hove Albion,Draw
20/07/2020,2020-2021,Brighton & Hove Albion,Draw
26/07/2020,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
05/09/2020,2020-2021,Brighton & Hove Albion,Draw
14/09/2020,2020-2021,Brighton & Hove Albion,Chelsea FC
17/09/2020,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
20/09/2020,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
23/09/2020,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
26/09/2020,2020-2021,Brighton & Hove Albion,Manchester United
30/09/2020,2020-2021,Brighton & Hove Albion,Manchester United
03/10/2020,2020-2021,Brighton & Hove Albion,Everton FC
18/10/2020,2020-2021,Brighton & Hove Albion,Draw
26/10/2020,2020-2021,Brighton & Hove Albion,Draw
01/11/2020,2020-2021,Brighton & Hove Albion,Tottenham Hotspur
06/11/2020,2020-2021,Brighton & Hove Albion,Draw
21/11/2020,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
28/11/2020,2020-2021,Brighton & Hove Albion,Draw
07/12/2020,2020-2021,Brighton & Hove Albion,Southampton FC
13/12/2020,2020-2021,Brighton & Hove Albion,Leicester City
16/12/2020,2020-2021,Brighton & Hove Albion,Draw
20/12/2020,2020-2021,Brighton & Hove Albion,Draw
27/12/2020,2020-2021,Brighton & Hove Albion,Draw
29/12/2020,2020-2021,Brighton & Hove Albion,Arsenal FC
02/01/2021,2020-2021,Brighton & Hove Albion,Draw
10/01/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
13/01/2021,2020-2021,Brighton & Hove Albion,Manchester City
16/01/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
23/01/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
27/01/2021,2020-2021,Brighton & Hove Albion,Draw
31/01/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
03/02/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
06/02/2021,2020-2021,Brighton & Hove Albion,Draw
10/02/2021,2020-2021,Brighton & Hove Albion,Leicester City
13/02/2021,2020-2021,Brighton & Hove Albion,Draw
22/02/2021,2020-2021,Brighton & Hove Albion,Crystal Palace
27/02/2021,2020-2021,Brighton & Hove Albion,West Bromwich Albion
06/03/2021,2020-2021,Brighton & Hove Albion,Leicester City
14/03/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
20/03/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
04/04/2021,2020-2021,Brighton & Hove Albion,Manchester United
12/04/2021,2020-2021,Brighton & Hove Albion,Draw
20/04/2021,2020-2021,Brighton & Hove Albion,Draw
24/04/2021,2020-2021,Brighton & Hove Albion,Sheffield United
01/05/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
09/05/2021,2020-2021,Brighton & Hove Albion,Wolverhampton Wanderers
15/05/2021,2020-2021,Brighton & Hove Albion,Draw
18/05/2021,2020-2021,Brighton & Hove Albion,Brighton & Hove Albion
23/05/2021,2020-2021,Brighton & Hove Albion,Arsenal FC
