date,season,team,team_win
01/07/2020,2020-2021,Everton FC,Everton FC
06/07/2020,2020-2021,Everton FC,Tottenham Hotspur
09/07/2020,2020-2021,Everton FC,Draw
12/07/2020,2020-2021,Everton FC,Wolverhampton Wanderers
16/07/2020,2020-2021,Everton FC,Draw
20/07/2020,2020-2021,Everton FC,Everton FC
26/07/2020,2020-2021,Everton FC,AFC Bournemouth
22/08/2020,2020-2021,Everton FC,Draw
05/09/2020,2020-2021,Everton FC,Everton FC
13/09/2020,2020-2021,Everton FC,Everton FC
16/09/2020,2020-2021,Everton FC,Everton FC
19/09/2020,2020-2021,Everton FC,Everton FC
23/09/2020,2020-2021,Everton FC,Everton FC
26/09/2020,2020-2021,Everton FC,Everton FC
30/09/2020,2020-2021,Everton FC,Everton FC
03/10/2020,2020-2021,Everton FC,Everton FC
17/10/2020,2020-2021,Everton FC,Draw
25/10/2020,2020-2021,Everton FC,Southampton FC
01/11/2020,2020-2021,Everton FC,Newcastle United
07/11/2020,2020-2021,Everton FC,Manchester United
22/11/2020,2020-2021,Everton FC,Everton FC
28/11/2020,2020-2021,Everton FC,Leeds United
05/12/2020,2020-2021,Everton FC,Draw
12/12/2020,2020-2021,Everton FC,Everton FC
16/12/2020,2020-2021,Everton FC,Everton FC
19/12/2020,2020-2021,Everton FC,Everton FC
23/12/2020,2020-2021,Everton FC,Manchester United
26/12/2020,2020-2021,Everton FC,Everton FC
01/01/2021,2020-2021,Everton FC,West Ham United
09/01/2021,2020-2021,Everton FC,Everton FC
12/01/2021,2020-2021,Everton FC,Everton FC
24/01/2021,2020-2021,Everton FC,Everton FC
27/01/2021,2020-2021,Everton FC,Draw
30/01/2021,2020-2021,Everton FC,Newcastle United
03/02/2021,2020-2021,Everton FC,Everton FC
06/02/2021,2020-2021,Everton FC,Draw
10/02/2021,2020-2021,Everton FC,Everton FC
14/02/2021,2020-2021,Everton FC,Fulham FC
17/02/2021,2020-2021,Everton FC,Manchester City
20/02/2021,2020-2021,Everton FC,Everton FC
01/03/2021,2020-2021,Everton FC,Everton FC
04/03/2021,2020-2021,Everton FC,Everton FC
08/03/2021,2020-2021,Everton FC,Chelsea FC
13/03/2021,2020-2021,Everton FC,Burnley FC
20/03/2021,2020-2021,Everton FC,Manchester City
05/04/2021,2020-2021,Everton FC,Draw
12/04/2021,2020-2021,Everton FC,Draw
16/04/2021,2020-2021,Everton FC,Draw
23/04/2021,2020-2021,Everton FC,Everton FC
01/05/2021,2020-2021,Everton FC,Aston Villa
09/05/2021,2020-2021,Everton FC,Everton FC
13/05/2021,2020-2021,Everton FC,Draw
16/05/2021,2020-2021,Everton FC,Sheffield United
19/05/2021,2020-2021,Everton FC,Everton FC
23/05/2021,2020-2021,Everton FC,Manchester City
