date,season,team,team_win
04/07/2020,2020-2021,Leeds United,Leeds United
09/07/2020,2020-2021,Leeds United,Leeds United
12/07/2020,2020-2021,Leeds United,Leeds United
16/07/2020,2020-2021,Leeds United,Leeds United
19/07/2020,2020-2021,Leeds United,Leeds United
22/07/2020,2020-2021,Leeds United,Leeds United
12/09/2020,2020-2021,Leeds United,Liverpool FC
16/09/2020,2020-2021,Leeds United,Hull City
19/09/2020,2020-2021,Leeds United,Leeds United
27/09/2020,2020-2021,Leeds United,Leeds United
03/10/2020,2020-2021,Leeds United,Draw
19/10/2020,2020-2021,Leeds United,Wolverhampton Wanderers
23/10/2020,2020-2021,Leeds United,Leeds United
02/11/2020,2020-2021,Leeds United,Leicester City
07/11/2020,2020-2021,Leeds United,Crystal Palace
22/11/2020,2020-2021,Leeds United,Draw
28/11/2020,2020-2021,Leeds United,Leeds United
05/12/2020,2020-2021,Leeds United,Chelsea FC
11/12/2020,2020-2021,Leeds United,West Ham United
16/12/2020,2020-2021,Leeds United,Leeds United
20/12/2020,2020-2021,Leeds United,Manchester United
27/12/2020,2020-2021,Leeds United,Leeds United
29/12/2020,2020-2021,Leeds United,Leeds United
02/01/2021,2020-2021,Leeds United,Tottenham Hotspur
10/01/2021,2020-2021,Leeds United,Crawley Town
16/01/2021,2020-2021,Leeds United,Brighton & Hove Albion
26/01/2021,2020-2021,Leeds United,Leeds United
31/01/2021,2020-2021,Leeds United,Leeds United
03/02/2021,2020-2021,Leeds United,Everton FC
08/02/2021,2020-2021,Leeds United,Leeds United
14/02/2021,2020-2021,Leeds United,Arsenal FC
19/02/2021,2020-2021,Leeds United,Wolverhampton Wanderers
23/02/2021,2020-2021,Leeds United,Leeds United
27/02/2021,2020-2021,Leeds United,Aston Villa
08/03/2021,2020-2021,Leeds United,West Ham United
13/03/2021,2020-2021,Leeds United,Draw
19/03/2021,2020-2021,Leeds United,Leeds United
03/04/2021,2020-2021,Leeds United,Leeds United
10/04/2021,2020-2021,Leeds United,Leeds United
19/04/2021,2020-2021,Leeds United,Draw
25/04/2021,2020-2021,Leeds United,Draw
01/05/2021,2020-2021,Leeds United,Brighton & Hove Albion
08/05/2021,2020-2021,Leeds United,Leeds United
15/05/2021,2020-2021,Leeds United,Leeds United
18/05/2021,2020-2021,Leeds United,Leeds United
23/05/2021,2020-2021,Leeds United,Leeds United
