date,season,team,team_win
02/07/2020,2020-2021,Sheffield United,Sheffield United
05/07/2020,2020-2021,Sheffield United,Draw
08/07/2020,2020-2021,Sheffield United,Sheffield United
11/07/2020,2020-2021,Sheffield United,Sheffield United
16/07/2020,2020-2021,Sheffield United,Leicester City
20/07/2020,2020-2021,Sheffield United,Everton FC
26/07/2020,2020-2021,Sheffield United,Southampton FC
01/09/2020,2020-2021,Sheffield United,Sheffield United
04/09/2020,2020-2021,Sheffield United,Draw
14/09/2020,2020-2021,Sheffield United,Wolverhampton Wanderers
17/09/2020,2020-2021,Sheffield United,Burnley FC
21/09/2020,2020-2021,Sheffield United,Aston Villa
27/09/2020,2020-2021,Sheffield United,Leeds United
04/10/2020,2020-2021,Sheffield United,Arsenal FC
18/10/2020,2020-2021,Sheffield United,Draw
24/10/2020,2020-2021,Sheffield United,Liverpool FC
31/10/2020,2020-2021,Sheffield United,Manchester City
07/11/2020,2020-2021,Sheffield United,Chelsea FC
22/11/2020,2020-2021,Sheffield United,West Ham United
28/11/2020,2020-2021,Sheffield United,West Bromwich Albion
06/12/2020,2020-2021,Sheffield United,Leicester City
13/12/2020,2020-2021,Sheffield United,Southampton FC
17/12/2020,2020-2021,Sheffield United,Manchester United
20/12/2020,2020-2021,Sheffield United,Draw
26/12/2020,2020-2021,Sheffield United,Everton FC
29/12/2020,2020-2021,Sheffield United,Burnley FC
02/01/2021,2020-2021,Sheffield United,Crystal Palace
09/01/2021,2020-2021,Sheffield United,Sheffield United
12/01/2021,2020-2021,Sheffield United,Sheffield United
17/01/2021,2020-2021,Sheffield United,Tottenham Hotspur
23/01/2021,2020-2021,Sheffield United,Sheffield United
27/01/2021,2020-2021,Sheffield United,Sheffield United
30/01/2021,2020-2021,Sheffield United,Manchester City
02/02/2021,2020-2021,Sheffield United,Sheffield United
07/02/2021,2020-2021,Sheffield United,Chelsea FC
10/02/2021,2020-2021,Sheffield United,Sheffield United
15/02/2021,2020-2021,Sheffield United,West Ham United
20/02/2021,2020-2021,Sheffield United,Fulham FC
28/02/2021,2020-2021,Sheffield United,Liverpool FC
03/03/2021,2020-2021,Sheffield United,Sheffield United
06/03/2021,2020-2021,Sheffield United,Southampton FC
14/03/2021,2020-2021,Sheffield United,Leicester City
21/03/2021,2020-2021,Sheffield United,Chelsea FC
03/04/2021,2020-2021,Sheffield United,Leeds United
11/04/2021,2020-2021,Sheffield United,Arsenal FC
17/04/2021,2020-2021,Sheffield United,Wolverhampton Wanderers
24/04/2021,2020-2021,Sheffield United,Sheffield United
02/05/2021,2020-2021,Sheffield United,Tottenham Hotspur
08/05/2021,2020-2021,Sheffield United,Crystal Palace
16/05/2021,2020-2021,Sheffield United,Sheffield United
19/05/2021,2020-2021,Sheffield United,Newcastle United
23/05/2021,2020-2021,Sheffield United,Sheffield United
