date,season,team,team_win
01/07/2020,2020-2021,West Ham United,West Ham United
05/07/2020,2020-2021,West Ham United,Draw
08/07/2020,2020-2021,West Ham United,Burnley FC
11/07/2020,2020-2021,West Ham United,West Ham United
17/07/2020,2020-2021,West Ham United,West Ham United
22/07/2020,2020-2021,West Ham United,Draw
26/07/2020,2020-2021,West Ham United,Draw
25/08/2020,2020-2021,West Ham United,West Ham United
05/09/2020,2020-2021,West Ham United,AFC Bournemouth
12/09/2020,2020-2021,West Ham United,Newcastle United
15/09/2020,2020-2021,West Ham United,West Ham United
19/09/2020,2020-2021,West Ham United,Arsenal FC
22/09/2020,2020-2021,West Ham United,West Ham United
27/09/2020,2020-2021,West Ham United,West Ham United
30/09/2020,2020-2021,West Ham United,Everton FC
04/10/2020,2020-2021,West Ham United,West Ham United
18/10/2020,2020-2021,West Ham United,Draw
24/10/2020,2020-2021,West Ham United,Draw
31/10/2020,2020-2021,West Ham United,Liverpool FC
07/11/2020,2020-2021,West Ham United,West Ham United
22/11/2020,2020-2021,West Ham United,West Ham United
30/11/2020,2020-2021,West Ham United,West Ham United
05/12/2020,2020-2021,West Ham United,Manchester United
11/12/2020,2020-2021,West Ham United,West Ham United
16/12/2020,2020-2021,West Ham United,Draw
21/12/2020,2020-2021,West Ham United,Chelsea FC
27/12/2020,2020-2021,West Ham United,Draw
29/12/2020,2020-2021,West Ham United,Draw
01/01/2021,2020-2021,West Ham United,West Ham United
11/01/2021,2020-2021,West Ham United,West Ham United
16/01/2021,2020-2021,West Ham United,West Ham United
19/01/2021,2020-2021,West Ham United,West Ham United
23/01/2021,2020-2021,West Ham United,West Ham United
26/01/2021,2020-2021,West Ham United,West Ham United
31/01/2021,2020-2021,West Ham United,Liverpool FC
03/02/2021,2020-2021,West Ham United,West Ham United
06/02/2021,2020-2021,West Ham United,Draw
09/02/2021,2020-2021,West Ham United,Manchester United
15/02/2021,2020-2021,West Ham United,West Ham United
21/02/2021,2020-2021,West Ham United,West Ham United
27/02/2021,2020-2021,West Ham United,Manchester City
08/03/2021,2020-2021,West Ham United,West Ham United
14/03/2021,2020-2021,West Ham United,Manchester United
21/03/2021,2020-2021,West Ham United,Draw
05/04/2021,2020-2021,West Ham United,West Ham United
11/04/2021,2020-2021,West Ham United,West Ham United
17/04/2021,2020-2021,West Ham United,Newcastle United
24/04/2021,2020-2021,West Ham United,Chelsea FC
03/05/2021,2020-2021,West Ham United,West Ham United
09/05/2021,2020-2021,West Ham United,Everton FC
15/05/2021,2020-2021,West Ham United,Draw
19/05/2021,2020-2021,West Ham United,West Ham United
23/05/2021,2020-2021,West Ham United,West Ham United
