date,season,team,team_win
04/07/2020,2020-2021,Wolverhampton Wanderers,Arsenal FC
08/07/2020,2020-2021,Wolverhampton Wanderers,Sheffield United
12/07/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
15/07/2020,2020-2021,Wolverhampton Wanderers,Draw
20/07/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
26/07/2020,2020-2021,Wolverhampton Wanderers,Chelsea FC
06/08/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
11/08/2020,2020-2021,Wolverhampton Wanderers,Sevilla FC
14/09/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
17/09/2020,2020-2021,Wolverhampton Wanderers,Stoke City
21/09/2020,2020-2021,Wolverhampton Wanderers,Manchester City
27/09/2020,2020-2021,Wolverhampton Wanderers,West Ham United
04/10/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
19/10/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
25/10/2020,2020-2021,Wolverhampton Wanderers,Draw
30/10/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
08/11/2020,2020-2021,Wolverhampton Wanderers,Leicester City
23/11/2020,2020-2021,Wolverhampton Wanderers,Draw
29/11/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
06/12/2020,2020-2021,Wolverhampton Wanderers,Liverpool FC
12/12/2020,2020-2021,Wolverhampton Wanderers,Aston Villa
15/12/2020,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
21/12/2020,2020-2021,Wolverhampton Wanderers,Burnley FC
27/12/2020,2020-2021,Wolverhampton Wanderers,Draw
29/12/2020,2020-2021,Wolverhampton Wanderers,Manchester United
02/01/2021,2020-2021,Wolverhampton Wanderers,Draw
08/01/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
12/01/2021,2020-2021,Wolverhampton Wanderers,Everton FC
16/01/2021,2020-2021,Wolverhampton Wanderers,West Bromwich Albion
22/01/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
27/01/2021,2020-2021,Wolverhampton Wanderers,Draw
30/01/2021,2020-2021,Wolverhampton Wanderers,Crystal Palace
02/02/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
07/02/2021,2020-2021,Wolverhampton Wanderers,Draw
11/02/2021,2020-2021,Wolverhampton Wanderers,Southampton FC
14/02/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
19/02/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
27/02/2021,2020-2021,Wolverhampton Wanderers,Draw
02/03/2021,2020-2021,Wolverhampton Wanderers,Manchester City
06/03/2021,2020-2021,Wolverhampton Wanderers,Draw
15/03/2021,2020-2021,Wolverhampton Wanderers,Liverpool FC
05/04/2021,2020-2021,Wolverhampton Wanderers,West Ham United
09/04/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
17/04/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
25/04/2021,2020-2021,Wolverhampton Wanderers,Burnley FC
03/05/2021,2020-2021,Wolverhampton Wanderers,Draw
09/05/2021,2020-2021,Wolverhampton Wanderers,Wolverhampton Wanderers
16/05/2021,2020-2021,Wolverhampton Wanderers,Tottenham Hotspur
19/05/2021,2020-2021,Wolverhampton Wanderers,Everton FC
23/05/2021,2020-2021,Wolverhampton Wanderers,Manchester United
