date,season,team,team_win
23/07/2021,2021-2022,Norwich City,Norwich City
03/08/2021,2021-2022,Norwich City,Norwich City
07/08/2021,2021-2022,Norwich City,Newcastle United
14/08/2021,2021-2022,Norwich City,Liverpool FC
21/08/2021,2021-2022,Norwich City,Manchester City
24/08/2021,2021-2022,Norwich City,Norwich City
28/08/2021,2021-2022,Norwich City,Leicester City
11/09/2021,2021-2022,Norwich City,Arsenal FC
18/09/2021,2021-2022,Norwich City,Watford FC
21/09/2021,2021-2022,Norwich City,Liverpool FC
25/09/2021,2021-2022,Norwich City,Everton FC
02/10/2021,2021-2022,Norwich City,Draw
16/10/2021,2021-2022,Norwich City,Draw
23/10/2021,2021-2022,Norwich City,Chelsea FC
31/10/2021,2021-2022,Norwich City,Leeds United
06/11/2021,2021-2022,Norwich City,Norwich City
20/11/2021,2021-2022,Norwich City,Norwich City
27/11/2021,2021-2022,Norwich City,Draw
30/11/2021,2021-2022,Norwich City,Draw
05/12/2021,2021-2022,Norwich City,Tottenham Hotspur
11/12/2021,2021-2022,Norwich City,Manchester United
14/12/2021,2021-2022,Norwich City,Aston Villa
26/12/2021,2021-2022,Norwich City,Arsenal FC
28/12/2021,2021-2022,Norwich City,Crystal Palace
09/01/2022,2021-2022,Norwich City,Norwich City
12/01/2022,2021-2022,Norwich City,West Ham United
15/01/2022,2021-2022,Norwich City,Norwich City
21/01/2022,2021-2022,Norwich City,Norwich City
05/02/2022,2021-2022,Norwich City,Norwich City
09/02/2022,2021-2022,Norwich City,Draw
12/02/2022,2021-2022,Norwich City,Manchester City
19/02/2022,2021-2022,Norwich City,Liverpool FC
25/02/2022,2021-2022,Norwich City,Southampton FC
02/03/2022,2021-2022,Norwich City,Liverpool FC
05/03/2022,2021-2022,Norwich City,Brentford FC
10/03/2022,2021-2022,Norwich City,Chelsea FC
13/03/2022,2021-2022,Norwich City,Leeds United
02/04/2022,2021-2022,Norwich City,Draw
10/04/2022,2021-2022,Norwich City,Norwich City
16/04/2022,2021-2022,Norwich City,Manchester United
23/04/2022,2021-2022,Norwich City,Newcastle United
30/04/2022,2021-2022,Norwich City,Aston Villa
08/05/2022,2021-2022,Norwich City,West Ham United
11/05/2022,2021-2022,Norwich City,Leicester City
15/05/2022,2021-2022,Norwich City,Draw
22/05/2022,2021-2022,Norwich City,Tottenham Hotspur
