date,season,team,team_win
09/07/2022,2022-2023,Brentford FC,Brentford FC
16/07/2022,2022-2023,Brentford FC,VfB Stuttgart
23/07/2022,2022-2023,Brentford FC,VfL Wolfsburg
26/07/2022,2022-2023,Brentford FC,Brentford FC
27/07/2022,2022-2023,Brentford FC,Brentford FC
30/07/2022,2022-2023,Brentford FC,Brentford FC
07/08/2022,2022-2023,Brentford FC,Draw
13/08/2022,2022-2023,Brentford FC,Brentford FC
20/08/2022,2022-2023,Brentford FC,Fulham FC
23/08/2022,2022-2023,Brentford FC,Brentford FC
27/08/2022,2022-2023,Brentford FC,Draw
30/08/2022,2022-2023,Brentford FC,Draw
03/09/2022,2022-2023,Brentford FC,Brentford FC
18/09/2022,2022-2023,Brentford FC,Arsenal FC
01/10/2022,2022-2023,Brentford FC,Draw
08/10/2022,2022-2023,Brentford FC,Newcastle United
14/10/2022,2022-2023,Brentford FC,Brentford FC
19/10/2022,2022-2023,Brentford FC,Draw
23/10/2022,2022-2023,Brentford FC,Aston Villa
29/10/2022,2022-2023,Brentford FC,Draw
05/11/2022,2022-2023,Brentford FC,Draw
08/11/2022,2022-2023,Brentford FC,Gillingham FC
12/11/2022,2022-2023,Brentford FC,Brentford FC
10/12/2022,2022-2023,Brentford FC,Girondins de Bordeaux
13/12/2022,2022-2023,Brentford FC,Celta de Vigo
17/12/2022,2022-2023,Brentford FC,Draw
26/12/2022,2022-2023,Brentford FC,Draw
30/12/2022,2022-2023,Brentford FC,Brentford FC
02/01/2023,2022-2023,Brentford FC,Brentford FC
07/01/2023,2022-2023,Brentford FC,West Ham United
14/01/2023,2022-2023,Brentford FC,Brentford FC
22/01/2023,2022-2023,Brentford FC,Draw
04/02/2023,2022-2023,Brentford FC,Brentford FC
11/02/2023,2022-2023,Brentford FC,Draw
18/02/2023,2022-2023,Brentford FC,Draw
06/03/2023,2022-2023,Brentford FC,Brentford FC
11/03/2023,2022-2023,Brentford FC,Everton FC
15/03/2023,2022-2023,Brentford FC,Brentford FC
18/03/2023,2022-2023,Brentford FC,Draw
01/04/2023,2022-2023,Brentford FC,Draw
05/04/2023,2022-2023,Brentford FC,Manchester United
08/04/2023,2022-2023,Brentford FC,Newcastle United
15/04/2023,2022-2023,Brentford FC,Wolverhampton Wanderers
22/04/2023,2022-2023,Brentford FC,Draw
26/04/2023,2022-2023,Brentford FC,Brentford FC
29/04/2023,2022-2023,Brentford FC,Brentford FC
06/05/2023,2022-2023,Brentford FC,Liverpool FC
14/05/2023,2022-2023,Brentford FC,Brentford FC
20/05/2023,2022-2023,Brentford FC,Brentford FC
28/05/2023,2022-2023,Brentford FC,Brentford FC
