date,season,team,team_win
16/07/2022,2022-2023,Fulham FC,Fulham FC
17/07/2022,2022-2023,Fulham FC,SL Benfica
24/07/2022,2022-2023,Fulham FC,Fulham FC
31/07/2022,2022-2023,Fulham FC,Draw
06/08/2022,2022-2023,Fulham FC,Draw
13/08/2022,2022-2023,Fulham FC,Draw
20/08/2022,2022-2023,Fulham FC,Fulham FC
23/08/2022,2022-2023,Fulham FC,Crawley Town
27/08/2022,2022-2023,Fulham FC,Arsenal FC
30/08/2022,2022-2023,Fulham FC,Fulham FC
03/09/2022,2022-2023,Fulham FC,Tottenham Hotspur
16/09/2022,2022-2023,Fulham FC,Fulham FC
01/10/2022,2022-2023,Fulham FC,Newcastle United
09/10/2022,2022-2023,Fulham FC,West Ham United
15/10/2022,2022-2023,Fulham FC,Draw
20/10/2022,2022-2023,Fulham FC,Fulham FC
23/10/2022,2022-2023,Fulham FC,Fulham FC
29/10/2022,2022-2023,Fulham FC,Draw
05/11/2022,2022-2023,Fulham FC,Manchester City
13/11/2022,2022-2023,Fulham FC,Manchester United
17/12/2022,2022-2023,Fulham FC,Draw
26/12/2022,2022-2023,Fulham FC,Fulham FC
31/12/2022,2022-2023,Fulham FC,Fulham FC
03/01/2023,2022-2023,Fulham FC,Fulham FC
07/01/2023,2022-2023,Fulham FC,Fulham FC
12/01/2023,2022-2023,Fulham FC,Fulham FC
15/01/2023,2022-2023,Fulham FC,Newcastle United
23/01/2023,2022-2023,Fulham FC,Tottenham Hotspur
28/01/2023,2022-2023,Fulham FC,Draw
03/02/2023,2022-2023,Fulham FC,Draw
08/02/2023,2022-2023,Fulham FC,Fulham FC
11/02/2023,2022-2023,Fulham FC,Fulham FC
18/02/2023,2022-2023,Fulham FC,Fulham FC
24/02/2023,2022-2023,Fulham FC,Draw
28/02/2023,2022-2023,Fulham FC,Fulham FC
06/03/2023,2022-2023,Fulham FC,Brentford FC
12/03/2023,2022-2023,Fulham FC,Arsenal FC
19/03/2023,2022-2023,Fulham FC,Manchester United
01/04/2023,2022-2023,Fulham FC,AFC Bournemouth
08/04/2023,2022-2023,Fulham FC,West Ham United
15/04/2023,2022-2023,Fulham FC,Fulham FC
22/04/2023,2022-2023,Fulham FC,Fulham FC
25/04/2023,2022-2023,Fulham FC,Aston Villa
30/04/2023,2022-2023,Fulham FC,Manchester City
03/05/2023,2022-2023,Fulham FC,Liverpool FC
08/05/2023,2022-2023,Fulham FC,Fulham FC
13/05/2023,2022-2023,Fulham FC,Fulham FC
20/05/2023,2022-2023,Fulham FC,Draw
28/05/2023,2022-2023,Fulham FC,Manchester United
