date,season,team,team_win
11/07/2023,2023-2024,Crystal Palace,Barnet FC
15/07/2023,2023-2024,Crystal Palace,Draw
19/07/2023,2023-2024,Crystal Palace,Crystal Palace
22/07/2023,2023-2024,Crystal Palace,Crystal Palace
27/07/2023,2023-2024,Crystal Palace,Millonarios
30/07/2023,2023-2024,Crystal Palace,Sevilla FC
05/08/2023,2023-2024,Crystal Palace,Crystal Palace
12/08/2023,2023-2024,Crystal Palace,Crystal Palace
21/08/2023,2023-2024,Crystal Palace,Arsenal FC
26/08/2023,2023-2024,Crystal Palace,Draw
29/08/2023,2023-2024,Crystal Palace,Crystal Palace
03/09/2023,2023-2024,Crystal Palace,Crystal Palace
16/09/2023,2023-2024,Crystal Palace,Aston Villa
23/09/2023,2023-2024,Crystal Palace,Draw
26/09/2023,2023-2024,Crystal Palace,Manchester United
30/09/2023,2023-2024,Crystal Palace,Crystal Palace
07/10/2023,2023-2024,Crystal Palace,Draw
21/10/2023,2023-2024,Crystal Palace,Newcastle United
27/10/2023,2023-2024,Crystal Palace,Tottenham Hotspur
04/11/2023,2023-2024,Crystal Palace,Crystal Palace
11/11/2023,2023-2024,Crystal Palace,Everton FC
25/11/2023,2023-2024,Crystal Palace,Luton Town
03/12/2023,2023-2024,Crystal Palace,Draw
06/12/2023,2023-2024,Crystal Palace,AFC Bournemouth
09/12/2023,2023-2024,Crystal Palace,Liverpool FC
16/12/2023,2023-2024,Crystal Palace,Draw
21/12/2023,2023-2024,Crystal Palace,Draw
27/12/2023,2023-2024,Crystal Palace,Chelsea FC
30/12/2023,2023-2024,Crystal Palace,Crystal Palace
04/01/2024,2023-2024,Crystal Palace,Draw
17/01/2024,2023-2024,Crystal Palace,Everton FC
20/01/2024,2023-2024,Crystal Palace,Arsenal FC
30/01/2024,2023-2024,Crystal Palace,Crystal Palace
03/02/2024,2023-2024,Crystal Palace,Brighton & Hove Albion
12/02/2024,2023-2024,Crystal Palace,Chelsea FC
19/02/2024,2023-2024,Crystal Palace,Draw
24/02/2024,2023-2024,Crystal Palace,Crystal Palace
02/03/2024,2023-2024,Crystal Palace,Tottenham Hotspur
09/03/2024,2023-2024,Crystal Palace,Draw
14/03/2024,2023-2024,Crystal Palace,Crystal Palace
30/03/2024,2023-2024,Crystal Palace,Draw
02/04/2024,2023-2024,Crystal Palace,AFC Bournemouth
06/04/2024,2023-2024,Crystal Palace,Manchester City
14/04/2024,2023-2024,Crystal Palace,Crystal Palace
21/04/2024,2023-2024,Crystal Palace,Crystal Palace
24/04/2024,2023-2024,Crystal Palace,Crystal Palace
27/04/2024,2023-2024,Crystal Palace,Draw
06/05/2024,2023-2024,Crystal Palace,Crystal Palace
11/05/2024,2023-2024,Crystal Palace,Crystal Palace
19/05/2024,2023-2024,Crystal Palace,Crystal Palace
