date,season,team,team_win
25/07/2023,2023-2024,Luton Town,Draw
25/07/2023,2023-2024,Luton Town,Brentwood Town
02/08/2023,2023-2024,Luton Town,Draw
05/08/2023,2023-2024,Luton Town,VfL Bochum
05/08/2023,2023-2024,Luton Town,Luton Town
12/08/2023,2023-2024,Luton Town,Brighton & Hove Albion
25/08/2023,2023-2024,Luton Town,Chelsea FC
29/08/2023,2023-2024,Luton Town,Luton Town
01/09/2023,2023-2024,Luton Town,West Ham United
16/09/2023,2023-2024,Luton Town,Fulham FC
23/09/2023,2023-2024,Luton Town,Draw
26/09/2023,2023-2024,Luton Town,Exeter City
30/09/2023,2023-2024,Luton Town,Luton Town
03/10/2023,2023-2024,Luton Town,Burnley FC
07/10/2023,2023-2024,Luton Town,Tottenham Hotspur
21/10/2023,2023-2024,Luton Town,Draw
29/10/2023,2023-2024,Luton Town,Aston Villa
05/11/2023,2023-2024,Luton Town,Draw
11/11/2023,2023-2024,Luton Town,Manchester United
25/11/2023,2023-2024,Luton Town,Luton Town
02/12/2023,2023-2024,Luton Town,Brentford FC
05/12/2023,2023-2024,Luton Town,Arsenal FC
10/12/2023,2023-2024,Luton Town,Manchester City
23/12/2023,2023-2024,Luton Town,Luton Town
26/12/2023,2023-2024,Luton Town,Luton Town
30/12/2023,2023-2024,Luton Town,Chelsea FC
07/01/2024,2023-2024,Luton Town,Draw
12/01/2024,2023-2024,Luton Town,Draw
16/01/2024,2023-2024,Luton Town,Luton Town
27/01/2024,2023-2024,Luton Town,Luton Town
30/01/2024,2023-2024,Luton Town,Luton Town
03/02/2024,2023-2024,Luton Town,Draw
10/02/2024,2023-2024,Luton Town,Sheffield United
18/02/2024,2023-2024,Luton Town,Manchester United
21/02/2024,2023-2024,Luton Town,Liverpool FC
27/02/2024,2023-2024,Luton Town,Manchester City
02/03/2024,2023-2024,Luton Town,Aston Villa
09/03/2024,2023-2024,Luton Town,Draw
13/03/2024,2023-2024,Luton Town,AFC Bournemouth
16/03/2024,2023-2024,Luton Town,Draw
30/03/2024,2023-2024,Luton Town,Tottenham Hotspur
03/04/2024,2023-2024,Luton Town,Arsenal FC
06/04/2024,2023-2024,Luton Town,Luton Town
13/04/2024,2023-2024,Luton Town,Manchester City
20/04/2024,2023-2024,Luton Town,Brentford FC
27/04/2024,2023-2024,Luton Town,Wolverhampton Wanderers
03/05/2024,2023-2024,Luton Town,Draw
11/05/2024,2023-2024,Luton Town,West Ham United
19/05/2024,2023-2024,Luton Town,Fulham FC
13/07/2024,2023-2024,Luton Town,Aarhus GF
03/08/2024,2023-2024,Luton Town,Celta de Vigo
12/08/2024,2023-2024,Luton Town,Burnley FC
17/08/2024,2023-2024,Luton Town,Draw
24/08/2024,2023-2024,Luton Town,Preston North End
27/08/2024,2023-2024,Luton Town,Queens Park Rangers
30/08/2024,2023-2024,Luton Town,Queens Park Rangers
14/09/2024,2023-2024,Luton Town,Luton Town
21/09/2024,2023-2024,Luton Town,Luton Town
27/09/2024,2023-2024,Luton Town,Plymouth Argyle
01/10/2024,2023-2024,Luton Town,Draw
05/10/2024,2023-2024,Luton Town,Sheffield United
19/10/2024,2023-2024,Luton Town,Luton Town
23/10/2024,2023-2024,Luton Town,Sunderland AFC
26/10/2024,2023-2024,Luton Town,Coventry City
01/11/2024,2023-2024,Luton Town,Draw
06/11/2024,2023-2024,Luton Town,Luton Town
09/11/2024,2023-2024,Luton Town,Middlesbrough FC
23/11/2024,2023-2024,Luton Town,Luton Town
27/11/2024,2023-2024,Luton Town,Leeds United
30/11/2024,2023-2024,Luton Town,Norwich City
07/12/2024,2023-2024,Luton Town,Draw
10/12/2024,2023-2024,Luton Town,Luton Town
14/12/2024,2023-2024,Luton Town,Blackburn Rovers
20/12/2024,2023-2024,Luton Town,Luton Town
26/12/2024,2023-2024,Luton Town,Bristol City
