date,season,team,team_win
18/07/2023,2023-2024,Nottingham Forest,Valencia CF
22/07/2023,2023-2024,Nottingham Forest,Nottingham Forest
27/07/2023,2023-2024,Nottingham Forest,Leeds United
30/07/2023,2023-2024,Nottingham Forest,PSV Eindhoven
02/08/2023,2023-2024,Nottingham Forest,Stade Rennais
05/08/2023,2023-2024,Nottingham Forest,Draw
12/08/2023,2023-2024,Nottingham Forest,Arsenal FC
18/08/2023,2023-2024,Nottingham Forest,Nottingham Forest
26/08/2023,2023-2024,Nottingham Forest,Manchester United
30/08/2023,2023-2024,Nottingham Forest,Burnley FC
02/09/2023,2023-2024,Nottingham Forest,Nottingham Forest
18/09/2023,2023-2024,Nottingham Forest,Draw
23/09/2023,2023-2024,Nottingham Forest,Manchester City
01/10/2023,2023-2024,Nottingham Forest,Draw
07/10/2023,2023-2024,Nottingham Forest,Draw
21/10/2023,2023-2024,Nottingham Forest,Draw
29/10/2023,2023-2024,Nottingham Forest,Liverpool FC
05/11/2023,2023-2024,Nottingham Forest,Nottingham Forest
12/11/2023,2023-2024,Nottingham Forest,West Ham United
25/11/2023,2023-2024,Nottingham Forest,Brighton & Hove Albion
02/12/2023,2023-2024,Nottingham Forest,Everton FC
06/12/2023,2023-2024,Nottingham Forest,Fulham FC
09/12/2023,2023-2024,Nottingham Forest,Draw
15/12/2023,2023-2024,Nottingham Forest,Tottenham Hotspur
23/12/2023,2023-2024,Nottingham Forest,AFC Bournemouth
26/12/2023,2023-2024,Nottingham Forest,Nottingham Forest
30/12/2023,2023-2024,Nottingham Forest,Nottingham Forest
07/01/2024,2023-2024,Nottingham Forest,Draw
17/01/2024,2023-2024,Nottingham Forest,Nottingham Forest
20/01/2024,2023-2024,Nottingham Forest,Brentford FC
26/01/2024,2023-2024,Nottingham Forest,Draw
30/01/2024,2023-2024,Nottingham Forest,Arsenal FC
04/02/2024,2023-2024,Nottingham Forest,Draw
07/02/2024,2023-2024,Nottingham Forest,Nottingham Forest
10/02/2024,2023-2024,Nottingham Forest,Newcastle United
17/02/2024,2023-2024,Nottingham Forest,Nottingham Forest
24/02/2024,2023-2024,Nottingham Forest,Aston Villa
28/02/2024,2023-2024,Nottingham Forest,Manchester United
02/03/2024,2023-2024,Nottingham Forest,Liverpool FC
10/03/2024,2023-2024,Nottingham Forest,Brighton & Hove Albion
16/03/2024,2023-2024,Nottingham Forest,Draw
30/03/2024,2023-2024,Nottingham Forest,Draw
02/04/2024,2023-2024,Nottingham Forest,Nottingham Forest
07/04/2024,2023-2024,Nottingham Forest,Tottenham Hotspur
13/04/2024,2023-2024,Nottingham Forest,Draw
21/04/2024,2023-2024,Nottingham Forest,Everton FC
28/04/2024,2023-2024,Nottingham Forest,Manchester City
04/05/2024,2023-2024,Nottingham Forest,Nottingham Forest
11/05/2024,2023-2024,Nottingham Forest,Chelsea FC
19/05/2024,2023-2024,Nottingham Forest,Nottingham Forest
