date,season,team,team_win
17/07/2024,2024-2025,Aston Villa,Aston Villa
20/07/2024,2024-2025,Aston Villa,Aston Villa
28/07/2024,2024-2025,Aston Villa,Columbus Crew
01/08/2024,2024-2025,Aston Villa,RB Leipzig
03/08/2024,2024-2025,Aston Villa,CF América
07/08/2024,2024-2025,Aston Villa,Aston Villa
10/08/2024,2024-2025,Aston Villa,Borussia Dortmund
17/08/2024,2024-2025,Aston Villa,Aston Villa
24/08/2024,2024-2025,Aston Villa,Arsenal FC
31/08/2024,2024-2025,Aston Villa,Aston Villa
14/09/2024,2024-2025,Aston Villa,Aston Villa
17/09/2024,2024-2025,Aston Villa,Aston Villa
21/09/2024,2024-2025,Aston Villa,Aston Villa
24/09/2024,2024-2025,Aston Villa,Aston Villa
29/09/2024,2024-2025,Aston Villa,Draw
02/10/2024,2024-2025,Aston Villa,Aston Villa
06/10/2024,2024-2025,Aston Villa,Draw
19/10/2024,2024-2025,Aston Villa,Aston Villa
22/10/2024,2024-2025,Aston Villa,Aston Villa
26/10/2024,2024-2025,Aston Villa,Draw
30/10/2024,2024-2025,Aston Villa,Crystal Palace
03/11/2024,2024-2025,Aston Villa,Tottenham Hotspur
06/11/2024,2024-2025,Aston Villa,Club Brugge KV
09/11/2024,2024-2025,Aston Villa,Liverpool FC
23/11/2024,2024-2025,Aston Villa,Draw
27/11/2024,2024-2025,Aston Villa,Draw
01/12/2024,2024-2025,Aston Villa,Chelsea FC
04/12/2024,2024-2025,Aston Villa,Aston Villa
07/12/2024,2024-2025,Aston Villa,Aston Villa
10/12/2024,2024-2025,Aston Villa,Aston Villa
14/12/2024,2024-2025,Aston Villa,Nottingham Forest
21/12/2024,2024-2025,Aston Villa,Aston Villa
26/12/2024,2024-2025,Aston Villa,Newcastle United
30/12/2024,2024-2025,Aston Villa,Draw
04/01/2025,2024-2025,Aston Villa,Aston Villa
10/01/2025,2024-2025,Aston Villa,Aston Villa
15/01/2025,2024-2025,Aston Villa,Aston Villa
18/01/2025,2024-2025,Aston Villa,Draw
21/01/2025,2024-2025,Aston Villa,AS Monaco
26/01/2025,2024-2025,Aston Villa,Draw
29/01/2025,2024-2025,Aston Villa,Aston Villa
01/02/2025,2024-2025,Aston Villa,Wolverhampton Wanderers
09/02/2025,2024-2025,Aston Villa,Aston Villa
15/02/2025,2024-2025,Aston Villa,Draw
19/02/2025,2024-2025,Aston Villa,Draw
22/02/2025,2024-2025,Aston Villa,Aston Villa
25/02/2025,2024-2025,Aston Villa,Crystal Palace
28/02/2025,2024-2025,Aston Villa,Aston Villa
04/03/2025,2024-2025,Aston Villa,Aston Villa
08/03/2025,2024-2025,Aston Villa,Aston Villa
12/03/2025,2024-2025,Aston Villa,Aston Villa
30/03/2025,2024-2025,Aston Villa,Aston Villa
02/04/2025,2024-2025,Aston Villa,Aston Villa
05/04/2025,2024-2025,Aston Villa,Aston Villa
09/04/2025,2024-2025,Aston Villa,Paris Saint-Germain
12/04/2025,2024-2025,Aston Villa,Aston Villa
15/04/2025,2024-2025,Aston Villa,Aston Villa
19/04/2025,2024-2025,Aston Villa,Aston Villa
22/04/2025,2024-2025,Aston Villa,Manchester City
26/04/2025,2024-2025,Aston Villa,Crystal Palace
03/05/2025,2024-2025,Aston Villa,Aston Villa
10/05/2025,2024-2025,Aston Villa,Aston Villa
16/05/2025,2024-2025,Aston Villa,Aston Villa
25/05/2025,2024-2025,Aston Villa,Manchester United
