date,season,team,team_win
20/07/2024,2024-2025,Ipswich Town,Ipswich Town
27/07/2024,2024-2025,Ipswich Town,Fortuna Düsseldorf
03/08/2024,2024-2025,Ipswich Town,Ipswich Town
10/08/2024,2024-2025,Ipswich Town,Ipswich Town
17/08/2024,2024-2025,Ipswich Town,Liverpool FC
24/08/2024,2024-2025,Ipswich Town,Manchester City
28/08/2024,2024-2025,Ipswich Town,AFC Wimbledon
31/08/2024,2024-2025,Ipswich Town,Draw
14/09/2024,2024-2025,Ipswich Town,Draw
21/09/2024,2024-2025,Ipswich Town,Draw
29/09/2024,2024-2025,Ipswich Town,Draw
05/10/2024,2024-2025,Ipswich Town,West Ham United
19/10/2024,2024-2025,Ipswich Town,Everton FC
26/10/2024,2024-2025,Ipswich Town,Brentford FC
02/11/2024,2024-2025,Ipswich Town,Draw
10/11/2024,2024-2025,Ipswich Town,Ipswich Town
24/11/2024,2024-2025,Ipswich Town,Draw
30/11/2024,2024-2025,Ipswich Town,Nottingham Forest
03/12/2024,2024-2025,Ipswich Town,Crystal Palace
08/12/2024,2024-2025,Ipswich Town,AFC Bournemouth
14/12/2024,2024-2025,Ipswich Town,Ipswich Town
21/12/2024,2024-2025,Ipswich Town,Newcastle United
27/12/2024,2024-2025,Ipswich Town,Arsenal FC
30/12/2024,2024-2025,Ipswich Town,Ipswich Town
05/01/2025,2024-2025,Ipswich Town,Draw
12/01/2025,2024-2025,Ipswich Town,Ipswich Town
16/01/2025,2024-2025,Ipswich Town,Brighton & Hove Albion
19/01/2025,2024-2025,Ipswich Town,Manchester City
25/01/2025,2024-2025,Ipswich Town,Liverpool FC
01/02/2025,2024-2025,Ipswich Town,Southampton FC
08/02/2025,2024-2025,Ipswich Town,Ipswich Town
15/02/2025,2024-2025,Ipswich Town,Draw
22/02/2025,2024-2025,Ipswich Town,Tottenham Hotspur
26/02/2025,2024-2025,Ipswich Town,Manchester United
03/03/2025,2024-2025,Ipswich Town,Nottingham Forest
08/03/2025,2024-2025,Ipswich Town,Crystal Palace
15/03/2025,2024-2025,Ipswich Town,Nottingham Forest
02/04/2025,2024-2025,Ipswich Town,Ipswich Town
05/04/2025,2024-2025,Ipswich Town,Wolverhampton Wanderers
13/04/2025,2024-2025,Ipswich Town,Draw
20/04/2025,2024-2025,Ipswich Town,Arsenal FC
26/04/2025,2024-2025,Ipswich Town,Newcastle United
03/05/2025,2024-2025,Ipswich Town,Draw
10/05/2025,2024-2025,Ipswich Town,Brentford FC
18/05/2025,2024-2025,Ipswich Town,Leicester City
25/05/2025,2024-2025,Ipswich Town,West Ham United
