date,season,team,team_win
20/07/2024,2024-2025,Leicester City,Leicester City
23/07/2024,2024-2025,Leicester City,Leicester City
26/07/2024,2024-2025,Leicester City,Palermo FC
03/08/2024,2024-2025,Leicester City,FC Augsburg
10/08/2024,2024-2025,Leicester City,RC Lens
19/08/2024,2024-2025,Leicester City,Draw
24/08/2024,2024-2025,Leicester City,Fulham FC
27/08/2024,2024-2025,Leicester City,Leicester City
31/08/2024,2024-2025,Leicester City,Aston Villa
14/09/2024,2024-2025,Leicester City,Draw
21/09/2024,2024-2025,Leicester City,Draw
24/09/2024,2024-2025,Leicester City,Leicester City
28/09/2024,2024-2025,Leicester City,Arsenal FC
05/10/2024,2024-2025,Leicester City,Leicester City
19/10/2024,2024-2025,Leicester City,Leicester City
25/10/2024,2024-2025,Leicester City,Nottingham Forest
30/10/2024,2024-2025,Leicester City,Manchester United
02/11/2024,2024-2025,Leicester City,Draw
10/11/2024,2024-2025,Leicester City,Manchester United
23/11/2024,2024-2025,Leicester City,Chelsea FC
30/11/2024,2024-2025,Leicester City,Brentford FC
03/12/2024,2024-2025,Leicester City,Leicester City
08/12/2024,2024-2025,Leicester City,Draw
14/12/2024,2024-2025,Leicester City,Newcastle United
22/12/2024,2024-2025,Leicester City,Wolverhampton Wanderers
26/12/2024,2024-2025,Leicester City,Liverpool FC
29/12/2024,2024-2025,Leicester City,Manchester City
04/01/2025,2024-2025,Leicester City,Aston Villa
11/01/2025,2024-2025,Leicester City,Leicester City
15/01/2025,2024-2025,Leicester City,Crystal Palace
18/01/2025,2024-2025,Leicester City,Fulham FC
26/01/2025,2024-2025,Leicester City,Leicester City
01/02/2025,2024-2025,Leicester City,Everton FC
07/02/2025,2024-2025,Leicester City,Manchester United
15/02/2025,2024-2025,Leicester City,Arsenal FC
21/02/2025,2024-2025,Leicester City,Brentford FC
27/02/2025,2024-2025,Leicester City,West Ham United
09/03/2025,2024-2025,Leicester City,Chelsea FC
16/03/2025,2024-2025,Leicester City,Manchester United
02/04/2025,2024-2025,Leicester City,Manchester City
07/04/2025,2024-2025,Leicester City,Newcastle United
12/04/2025,2024-2025,Leicester City,Draw
20/04/2025,2024-2025,Leicester City,Liverpool FC
26/04/2025,2024-2025,Leicester City,Wolverhampton Wanderers
03/05/2025,2024-2025,Leicester City,Leicester City
11/05/2025,2024-2025,Leicester City,Draw
18/05/2025,2024-2025,Leicester City,Leicester City
25/05/2025,2024-2025,Leicester City,AFC Bournemouth
