Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,home_rest_days_fixed,away_rest_days_fixed,rest_days_diff_fixed,home_matches_7days,away_matches_7days,home_form_3_fixed,away_form_3_fixed,form_diff_3_fixed,home_non_epl_load_7days_fixed,away_non_epl_load_7days_fixed,load_diff_7days_fixed,home_shot_accuracy,away_shot_accuracy
2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,13,13,6,3,3,4,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.16666666666666666,0.375
2015-08-08,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,15,16,4,8,1,3,1,0,2015-2016,6,7,-1,1,0,0.0,,,1,0,1,0.25,0.5263157894736842
2015-08-08,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,7,13,8,2,1,2,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.45454545454545453,0.4166666666666667
2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,13,17,6,3,2,4,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.4,0.45454545454545453
2015-08-08,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,12,12,1,2,2,3,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.1,0.4
2015-08-08,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,14,20,1,4,1,0,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.3333333333333333,0.5833333333333334
2015-08-09,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,12,9,5,4,1,3,0,0,2015-2016,7,3,4,1,1,3.0,1.3333333333333333,1.6666666666666667,1,1,0,0.2608695652173913,0.4444444444444444
2015-08-09,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,9,12,6,6,2,4,0,0,2015-2016,7,3,4,0,1,,3.0,,0,1,-1,0.4,0.3125
2015-08-09,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,9,16,3,5,2,4,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.125,0.3333333333333333
2015-08-10,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,12,9,6,6,4,1,0,0,2015-2016,7,7,0,0,0,,,,0,0,0,0.2,0.35
2015-08-14,Aston Villa,Man United,0,1,A,0,1,A,M Dean,5,9,1,2,14,10,3,5,2,2,0,0,2015-2016,6,6,0,2,2,3.0,3.0,0.0,1,1,0,0.16666666666666666,0.2
2015-08-15,Southampton,Everton,0,3,A,0,2,A,M Oliver,17,10,4,4,11,10,9,9,4,2,0,0,2015-2016,6,7,-1,2,2,1.6666666666666667,1.0,0.6666666666666667,1,1,0,0.2222222222222222,0.36363636363636365
2015-08-15,Sunderland,Norwich,1,3,A,0,2,A,K Friend,6,19,2,6,7,7,6,6,1,2,0,0,2015-2016,7,7,0,2,2,0.0,0.0,0.0,1,1,0,0.2857142857142857,0.3
2015-08-15,Swansea,Newcastle,2,0,H,1,0,H,M Jones,19,4,6,2,11,8,4,4,2,1,0,1,2015-2016,7,6,1,2,2,1.0,1.0,0.0,1,1,0,0.3,0.4
2015-08-15,Tottenham,Stoke,2,2,D,2,0,H,R Madley,13,16,7,7,15,11,4,3,2,2,0,0,2015-2016,7,6,1,2,2,0.0,0.0,0.0,1,1,0,0.5,0.4117647058823529
2015-08-15,Watford,West Brom,0,0,D,0,0,D,P Tierney,16,6,5,0,13,10,2,4,1,2,0,0,2015-2016,7,5,2,2,2,1.0,0.0,1.0,1,1,0,0.29411764705882354,0.0
2015-08-15,West Ham,Leicester,1,2,A,0,2,A,A Taylor,10,11,3,6,11,12,8,4,1,3,1,0,2015-2016,6,7,-1,2,2,2.0,3.0,-1.0,1,1,0,0.2727272727272727,0.5
